"batch","stage","status","failure_stage","m_batch","seed","ok","error_message","started_at","finished_at","m_done_before","m_done_after","seconds","gc_vcells_used_mb_pre","gc_vcells_limit_mb_pre","gc_vcells_frac_pre","gc_vcells_used_mb_post","gc_vcells_limit_mb_post","gc_vcells_frac_post","rss_mb","imp_b_size_bytes","imp_acc_size_bytes","checkpoint_path","notes","run_id","run_ts"
1,"batch_started","started",NA,2,20351206,NA,NA,"2026-04-19 13:09:57.006571",NA,0,NA,NA,7383.5,16384,0.450653076171875,NA,NA,NA,3512.1875,NA,NA,NA,"batch entry","20260419_112645","2026-04-19 11:26:45.267227"
1,"mice_call_entered","started",NA,2,20351206,NA,NA,"2026-04-19 13:09:57.444441",NA,0,0,NA,7383.5,16384,0.450653076171875,NA,NA,NA,3512.21875,NA,NA,NA,"about to call mice::mice()","20260419_112645","2026-04-19 11:26:45.267227"
1,"mice_returned","ok",NA,2,20351206,TRUE,NA,"2026-04-19 13:09:57.444441","2026-04-19 13:29:40.53331",0,0,1183.08886885643,7383.5,16384,0.450653076171875,7548,16384,0.460693359375,3671.828125,477144456,NA,NA,"mice() returned successfully","20260419_112645","2026-04-19 11:26:45.267227"
1,"ibind_started","started",NA,2,20351206,NA,NA,"2026-04-19 13:29:46.703411",NA,0,0,NA,7575.6,16384,0.4623779296875,NA,NA,NA,3834.5,477144456,NA,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_01.rds","initial accumulator assignment","20260419_112645","2026-04-19 11:26:45.267227"
1,"ibind_completed","ok",NA,2,20351206,TRUE,NA,"2026-04-19 13:29:46.703411","2026-04-19 13:29:47.032657",0,2,0.329245805740356,7575.6,16384,0.4623779296875,7575.6,16384,0.4623779296875,3834.65625,477144456,477144456,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_01.rds","initialized accumulator","20260419_112645","2026-04-19 11:26:45.267227"
1,"checkpoint_started","started",NA,2,20351206,NA,NA,"2026-04-19 13:29:47.449213",NA,0,2,NA,7575.6,16384,0.4623779296875,NA,NA,NA,3847.5625,477144456,477144456,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_01.rds","about to save accumulated mids checkpoint","20260419_112645","2026-04-19 11:26:45.267227"
1,"checkpoint_saved","completed",NA,2,20351206,TRUE,NA,"2026-04-19 13:29:47.449213","2026-04-19 13:29:52.922563",0,2,5.47335004806519,7575.6,16384,0.4623779296875,7575.6,16384,0.4623779296875,3849.625,477144456,477144456,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_01.rds","saved accumulated mids checkpoint","20260419_112645","2026-04-19 11:26:45.267227"
2,"batch_started","started",NA,2,20451206,NA,NA,"2026-04-19 13:29:54.224677",NA,2,NA,NA,7575.6,16384,0.4623779296875,NA,NA,NA,3859.953125,NA,477144456,NA,"batch entry","20260419_112645","2026-04-19 11:26:45.267227"
2,"mice_call_entered","started",NA,2,20451206,NA,NA,"2026-04-19 13:29:54.628748",NA,2,2,NA,7575.6,16384,0.4623779296875,NA,NA,NA,3860.0625,NA,477144456,NA,"about to call mice::mice()","20260419_112645","2026-04-19 11:26:45.267227"
2,"mice_returned","ok",NA,2,20451206,TRUE,NA,"2026-04-19 13:29:54.628748","2026-04-19 13:47:59.561721",2,2,1084.93297314644,7575.6,16384,0.4623779296875,7740.1,16384,0.472418212890625,3975.125,477144456,477144456,NA,"mice() returned successfully","20260419_112645","2026-04-19 11:26:45.267227"
