"variable","method","n_finite","drift_all","drift_tail","drift_all_scaled","drift_tail_scaled","tail_n_finite","tail_window_na_frac","slope","slope_scaled","sd_chain","sd_obs","overall_reason","tail_reason","flag_reason","diagnostic_available","flag","run_id","run_ts"
"curr_bmi","pmm",20,0.0218140666839624,0.00675315014332512,0.00261973955627744,0.00081101313277621,5,0,-0.000143076310427575,-1.71826131928402e-05,0.0084742055163789,8.32680738499036,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"temp_new","pmm",20,0.00516051166965781,0.00249217106055255,0.00374518682008548,0.00180866681578472,5,0,-0.000208948257751068,-0.000151641990388332,0.00220676449980645,1.37790500649578,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"sbp","pmm",20,0.0843915199738348,0.0432666630334069,0.00319251019502584,0.00163676709320706,5,0,-0.00247341489179834,-9.35686697080843e-05,0.0353940029079154,26.4342209792541,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"dbp","pmm",20,0.0490133533160417,0.0204961249730076,0.00300396153185412,0.00125617952670947,5,0,0.000205958837469911,1.26229360581724e-05,0.0139205493578378,16.3162386722674,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"hr","pmm",20,0.0483174468843259,0.0417113937018456,0.00234331548526169,0.00202293293781401,5,0,-0.000572136127364572,-2.77476467277076e-05,0.0198681120688921,20.6192666707574,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"sodium","pmm",20,0.0268176906452595,0.0236029638777495,0.00562817182027825,0.00495350393622641,5,0,0.000400866031870583,8.41289033468505e-05,0.00810089480208507,4.76490261875724,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_cr","pmm",20,0.0344051615492784,0.0019005907651759,0.0196992089729591,0.00108821272650183,5,0,-0.000539972965553393,-0.00030916989803839,0.00818359033546952,1.74652503034543,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_hco3","pmm",20,0.0305467879962009,0.014657337680525,0.00622480546727361,0.00298686316023652,5,0,0.000229988383969104,4.686688990405e-05,0.00905090969334333,4.90726789082776,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_cl","pmm",20,0.0376603876603809,0.0255494130494185,0.00636578626792315,0.00431865184740479,5,0,-0.00130378926431509,-0.000220381262930385,0.0167711508590943,5.91606222316159,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_lac","pmm",20,0.00230806716336063,0.00205759225816737,0.00102003678001904,0.000909340861016018,5,0,-9.16416432609312e-05,-4.05004881103315e-05,0.00096152945340224,2.26272935307053,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_k","pmm",20,0.00187181793000413,0.00187181793000413,0.00279712670170261,0.00279712670170261,5,0,-2.37375980867859e-05,-3.54719699915939e-05,0.000834067326822086,0.669193114800539,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"wbc","pmm",20,0.0888356874066396,0.024863344855488,0.00999040706586217,0.00279611655379244,5,0,0.00187450553788595,0.000210805746174638,0.0261581874802184,8.8920988725471,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"plt","pmm",20,2.39320577601001,0.435684639389052,0.0229244787814161,0.00417341599756422,5,0,0.0368557487752864,0.000353040611568674,0.580279818580149,104.395209977471,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_phos","pmm",20,0.00156833175268822,0.00141622885798354,0.00107147349486685,0.000967557840612419,5,0,4.86735105587686e-05,3.32534085192432e-05,0.00089378459684432,1.46371493107547,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_ca","pmm",20,0.0027385922930474,0.0027385922930474,0.00332139076737834,0.00332139076737834,5,0,7.87291035011386e-05,9.54834051627594e-05,0.00102885767916773,0.824531795519214,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
"vbg_o2sat","pmm",20,0.196692975800545,0.130199060948399,0.00901279345094189,0.00596593365400325,5,0,-0.00378168126883202,-0.000173282813148554,0.0745116799356113,21.8237527433838,"ok","ok","none",TRUE,FALSE,"20260202_191751","2026-02-02 19:17:51.443286"
