"variable","method","drift_tail","drift_tail_scaled","slope","slope_scaled","tail_n_finite","tail_window_na_frac","flag_reason","run_id","run_ts"
"vbg_o2sat","pmm",1.09599688171434,0.0495153196129157,0.181878966851378,0.00821698977868088,5,0,"both","20260423_104307","2026-04-23 10:43:07.487173"
"serum_ca","pmm",0.0288349532155152,0.0355322640785935,0.00224563226422032,0.00276721096231057,5,0,"both","20260423_104307","2026-04-23 10:43:07.487173"
"serum_cr","pmm",0.0525353436983673,0.0309940740891917,-0.0050550934850488,-0.00298233400552136,5,0,"both","20260423_104307","2026-04-23 10:43:07.487173"
"sodium","pmm",0.133524904214568,0.028883480854616,-0.00651340996168824,-0.00140895028559146,5,0,"both","20260423_104307","2026-04-23 10:43:07.487173"
"sbp","pmm",0.570433937823836,0.0217162767450275,-0.0451068652849726,-0.00171720703253748,5,0,"both","20260423_104307","2026-04-23 10:43:07.487173"
"plt","pmm",2.02057853820514,0.0197096608811755,0.427124563866886,0.00416637123905827,5,0,"both","20260423_104307","2026-04-23 10:43:07.487173"
"dbp","pmm",0.320661953727509,0.0193802129341493,-0.0341259640102806,-0.00206250988436367,5,0,"both","20260423_104307","2026-04-23 10:43:07.487173"
"temp_new","pmm",0.0212721181363804,0.018078596612897,-7.0474282183533e-06,-5.98941821877433e-06,5,0,"tail_drift","20260423_104307","2026-04-23 10:43:07.487173"
"serum_k","pmm",0.0107835838895531,0.0160223086034852,-0.00299378090088596,-0.00444817622568728,5,0,"both","20260423_104307","2026-04-23 10:43:07.487173"
"serum_hco3","pmm",0.0790957437339408,0.0159299759481193,0.0179840429877555,0.00362200743959824,5,0,"both","20260423_104307","2026-04-23 10:43:07.487173"
"serum_cl","pmm",0.0897651006711442,0.0152344230204092,-1.67785234948481e-05,-2.84755570558346e-06,5,0,"tail_drift","20260423_104307","2026-04-23 10:43:07.487173"
"wbc","pmm",0.0616090532417264,0.00874870448776201,0.0218830534754116,0.00310747135482039,5,0,"slope","20260423_104307","2026-04-23 10:43:07.487173"
"serum_lac","pmm",0.0167763197174073,0.00726913235615225,0.00273723214755057,0.00118603502467912,5,0,"slope","20260423_104307","2026-04-23 10:43:07.487173"
"hr","pmm",0.0854761904761858,0.00427118833422465,-0.0385846560846514,-0.00192804957767447,5,0,"slope","20260423_104307","2026-04-23 10:43:07.487173"
