"variable","method","n_finite","drift_all","drift_tail","drift_all_scaled","drift_tail_scaled","tail_n_finite","tail_window_na_frac","slope","slope_scaled","sd_chain","sd_obs","overall_reason","tail_reason","flag_reason","diagnostic_available","flag","run_id","run_ts"
"curr_bmi","pmm",5,0.0144777943359351,0.0144777943359351,0.00173172531426445,0.00173172531426445,5,0,0.00552048950336711,0.000660319603821374,0.011893545457395,8.36032956074477,"ok","ok","none",TRUE,FALSE,"20260415_003149","2026-04-15 00:31:49.347034"
"temp_new","pmm",5,0.00653215474001456,0.00653215474001456,0.00458709141393035,0.00458709141393035,5,0,-0.00172732369374743,-0.00121298285175798,0.0033243707052016,1.42402977193289,"ok","ok","slope",TRUE,TRUE,"20260415_003149","2026-04-15 00:31:49.347034"
"sbp","pmm",5,0.0502192925375482,0.0502192925375482,0.00189942975530574,0.00189942975530574,5,0,-0.0270808714438205,-0.00102427195647056,0.0447037476792326,26.4391417462367,"ok","ok","slope",TRUE,TRUE,"20260415_003149","2026-04-15 00:31:49.347034"
"dbp","pmm",5,0.0219621077331738,0.0219621077331738,0.00134942582276634,0.00134942582276634,5,0,0.0079632100770998,0.00048928643100681,0.0138978665898418,16.2751500398526,"ok","ok","none",TRUE,FALSE,"20260415_003149","2026-04-15 00:31:49.347034"
"hr","pmm",5,0.035364465304113,0.035364465304113,0.00171139513358028,0.00171139513358028,5,0,-0.0109474647993211,-0.000529781457784987,0.0254663932987962,20.6641146805938,"ok","ok","none",TRUE,FALSE,"20260415_003149","2026-04-15 00:31:49.347034"
"sodium","pmm",5,0.0101653731776423,0.0101653731776423,0.00214191519277897,0.00214191519277897,5,0,0.00207383767649226,0.00043697209625377,0.00471730291440835,4.7459270151838,"ok","ok","none",TRUE,FALSE,"20260415_003149","2026-04-15 00:31:49.347034"
"serum_cr","pmm",5,0.030241867954202,0.030241867954202,0.0175452994909247,0.0175452994909247,5,0,-0.00596826456645995,-0.00346258337673429,0.0132722060896265,1.72364501214953,"ok","ok","both",TRUE,TRUE,"20260415_003149","2026-04-15 00:31:49.347034"
"serum_hco3","pmm",5,0.0138299196360094,0.0138299196360094,0.00282488055811819,0.00282488055811819,5,0,0.00390749998855256,0.000798140628364071,0.00789519361378471,4.89575376780614,"ok","ok","none",TRUE,FALSE,"20260415_003149","2026-04-15 00:31:49.347034"
"serum_cl","pmm",5,0.0687202555577215,0.0687202555577215,0.0116646770065795,0.0116646770065795,5,0,-0.0177045439728781,-0.00300519527054061,0.0354998496012514,5.8913123371491,"ok","ok","both",TRUE,TRUE,"20260415_003149","2026-04-15 00:31:49.347034"
"serum_lac","pmm",5,0.00319739660152352,0.00319739660152352,0.0014083268521201,0.0014083268521201,5,0,-0.000220516011309762,-9.71285888969733e-05,0.00135617692630717,2.27035123040518,"ok","ok","none",TRUE,FALSE,"20260415_003149","2026-04-15 00:31:49.347034"
"serum_k","pmm",5,0.00141309066500472,0.00141309066500472,0.00210875678252833,0.00210875678252833,5,0,-0.000122620600772448,-0.000182986859909469,0.000666836533044861,0.670106043860817,"ok","ok","none",TRUE,FALSE,"20260415_003149","2026-04-15 00:31:49.347034"
"wbc","pmm",5,0.0596562155995279,0.0596562155995279,0.00715324932070587,0.00715324932070587,5,0,0.0168528876788605,0.00202079374511472,0.0364367467253234,8.33973666021209,"ok","ok","slope",TRUE,TRUE,"20260415_003149","2026-04-15 00:31:49.347034"
"plt","pmm",5,2.47966888420419,2.47966888420419,0.023592262251326,0.023592262251326,5,0,0.548815161519004,0.00522158071206172,1.15714003378055,105.105176340807,"ok","ok","both",TRUE,TRUE,"20260415_003149","2026-04-15 00:31:49.347034"
"serum_phos","pmm",5,0.00210817777589245,0.00210817777589245,0.00143867657191875,0.00143867657191875,5,0,-0.000476614050964945,-0.000325254101817995,0.00109672441180112,1.46535907864322,"ok","ok","none",TRUE,FALSE,"20260415_003149","2026-04-15 00:31:49.347034"
"serum_ca","pmm",5,0.00342211392195679,0.00342211392195679,0.00413088025294403,0.00413088025294403,5,0,0.000157321649564663,0.000189905102626052,0.00169284648636062,0.828422445680407,"ok","ok","none",TRUE,FALSE,"20260415_003149","2026-04-15 00:31:49.347034"
"vbg_o2sat","pmm",5,0.209114318858724,0.209114318858724,0.00958028751622034,0.00958028751622034,5,0,0.00415010735130022,0.000190131512110831,0.0824739442968519,21.8275619082072,"ok","ok","none",TRUE,FALSE,"20260415_003149","2026-04-15 00:31:49.347034"
