"batch","combine_stage","left_m","right_m","left_size_bytes","right_size_bytes","rss_mb","gc_vcells_frac","started_at","finished_at","ok","error_message","run_id","run_ts"
1,"ibind_started",0,2,NA,5023752,5147.078125,0.22138671875,"2026-04-24 06:38:31.547356",NA,NA,NA,"20260424_063653","2026-04-24 06:36:53.744157"
1,"ibind_completed",0,2,NA,5023752,5147.078125,0.22138671875,"2026-04-24 06:38:31.547356","2026-04-24 06:38:31.831332",TRUE,NA,"20260424_063653","2026-04-24 06:36:53.744157"
2,"ibind_started",2,2,5023752,5023752,3995.125,0.2215087890625,"2026-04-24 06:38:35.518635",NA,NA,NA,"20260424_063653","2026-04-24 06:36:53.744157"
2,"ibind_completed",2,2,5023752,5023752,3995.140625,0.2215087890625,"2026-04-24 06:38:35.518635","2026-04-24 06:38:35.854435",TRUE,NA,"20260424_063653","2026-04-24 06:36:53.744157"
3,"ibind_started",4,2,5480048,5023752,3790.09375,0.221533203125,"2026-04-24 06:38:39.333945",NA,NA,NA,"20260424_063653","2026-04-24 06:36:53.744157"
3,"ibind_completed",4,2,5480048,5023752,3606.796875,0.221533203125,"2026-04-24 06:38:39.333945","2026-04-24 06:38:39.683816",TRUE,NA,"20260424_063653","2026-04-24 06:36:53.744157"
4,"ibind_started",6,2,5936296,5023752,3802,0.2215576171875,"2026-04-24 06:38:43.100923",NA,NA,NA,"20260424_063653","2026-04-24 06:36:53.744157"
4,"ibind_completed",6,2,5936296,5023752,3802,0.221563720703125,"2026-04-24 06:38:43.100923","2026-04-24 06:38:43.432723",TRUE,NA,"20260424_063653","2026-04-24 06:36:53.744157"
5,"ibind_started",8,2,6392528,5023752,3698.140625,0.221588134765625,"2026-04-24 06:38:46.843647",NA,NA,NA,"20260424_063653","2026-04-24 06:36:53.744157"
5,"ibind_completed",8,2,6392528,5023752,3698.1875,0.221588134765625,"2026-04-24 06:38:46.843647","2026-04-24 06:38:47.178526",TRUE,NA,"20260424_063653","2026-04-24 06:36:53.744157"
6,"ibind_started",10,2,6852440,5023752,3811.6875,0.221612548828125,"2026-04-24 06:38:50.626166",NA,NA,NA,"20260424_063653","2026-04-24 06:36:53.744157"
6,"ibind_completed",10,2,6852440,5023752,3811.6875,0.221612548828125,"2026-04-24 06:38:50.626166","2026-04-24 06:38:50.956556",TRUE,NA,"20260424_063653","2026-04-24 06:36:53.744157"
7,"ibind_started",12,2,7307488,5023752,3743.109375,0.22164306640625,"2026-04-24 06:38:54.442273",NA,NA,NA,"20260424_063653","2026-04-24 06:36:53.744157"
7,"ibind_completed",12,2,7307488,5023752,3743.109375,0.22164306640625,"2026-04-24 06:38:54.442273","2026-04-24 06:38:54.762857",TRUE,NA,"20260424_063653","2026-04-24 06:36:53.744157"
8,"ibind_started",14,2,7762552,5023752,3843.671875,0.22166748046875,"2026-04-24 06:38:58.334438",NA,NA,NA,"20260424_063653","2026-04-24 06:36:53.744157"
8,"ibind_completed",14,2,7762552,5023752,3843.671875,0.22166748046875,"2026-04-24 06:38:58.334438","2026-04-24 06:38:58.665319",TRUE,NA,"20260424_063653","2026-04-24 06:36:53.744157"
9,"ibind_started",16,2,8217600,5023752,3533.75,0.22169189453125,"2026-04-24 06:39:02.429145",NA,NA,NA,"20260424_063653","2026-04-24 06:36:53.744157"
9,"ibind_completed",16,2,8217600,5023752,3533.78125,0.22169189453125,"2026-04-24 06:39:02.429145","2026-04-24 06:39:02.779412",TRUE,NA,"20260424_063653","2026-04-24 06:36:53.744157"
10,"ibind_started",18,2,8673928,5023752,3582.640625,0.221722412109375,"2026-04-24 06:39:06.50811",NA,NA,NA,"20260424_063653","2026-04-24 06:36:53.744157"
10,"ibind_completed",18,2,8673928,5023752,3582.71875,0.221722412109375,"2026-04-24 06:39:06.50811","2026-04-24 06:39:06.839051",TRUE,NA,"20260424_063653","2026-04-24 06:36:53.744157"
