"variable","term","OR","LCL","UCL","p.value","run_id","run_ts"
"temp_new","location1",18.41,15.92,21.29,0,"20260204_140017","2026-02-04 14:00:17.499946"
"temp_new","location3",21.44,18.95,24.26,0,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_phos","encounter_typeInpatient",0.12,0.11,0.14,0,"20260204_140017","2026-02-04 14:00:17.499946"
"hr","location1",11.68,10.14,13.46,2.89e-253,"20260204_140017","2026-02-04 14:00:17.499946"
"sbp","encounter_typeInpatient",0.04,0.04,0.05,6.74e-225,"20260204_140017","2026-02-04 14:00:17.499946"
"dbp","encounter_typeInpatient",0.05,0.04,0.06,3.55e-221,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_lac","has_abg",0.24,0.22,0.26,5.86e-183,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_o2sat","has_vbg",0,0,0,3.26e-137,"20260204_140017","2026-02-04 14:00:17.499946"
"dbp","location3",1607.67,847.74,3048.81,3.44e-113,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_lac","location3",3.24,2.89,3.62,7.8e-93,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_phos","has_abg",0.34,0.31,0.38,9.84e-92,"20260204_140017","2026-02-04 14:00:17.499946"
"sbp","location3",3373.24,1382.62,8229.86,2.78e-71,"20260204_140017","2026-02-04 14:00:17.499946"
"hr","location2",4.34,3.68,5.13,1.28e-66,"20260204_140017","2026-02-04 14:00:17.499946"
"wbc","location3",3.13,2.72,3.61,3.31e-57,"20260204_140017","2026-02-04 14:00:17.499946"
"temp_new","location2",3.76,3.17,4.45,3.45e-53,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cl","age_at_encounter",0.96,0.96,0.97,7.73e-52,"20260204_140017","2026-02-04 14:00:17.499946"
"sodium","age_at_encounter",0.96,0.96,0.97,2.92e-50,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_ca","age_at_encounter",0.97,0.97,0.97,1.66e-49,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_hco3","age_at_encounter",0.97,0.96,0.97,2.55e-49,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_phos","has_vbg",0.38,0.33,0.43,2.72e-49,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cr","age_at_encounter",0.97,0.96,0.97,5.72e-49,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_k","age_at_encounter",0.97,0.96,0.97,3.34e-47,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_o2sat","encounter_typeInpatient",0.22,0.17,0.28,6.71e-38,"20260204_140017","2026-02-04 14:00:17.499946"
"temp_new","has_abg",0.49,0.43,0.54,9.37e-36,"20260204_140017","2026-02-04 14:00:17.499946"
"wbc","age_at_encounter",0.98,0.98,0.98,1.67e-35,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_phos","location3",0.48,0.43,0.54,4.9e-35,"20260204_140017","2026-02-04 14:00:17.499946"
"wbc","location2",3.39,2.78,4.13,1.63e-33,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_lac","has_vbg",0.49,0.44,0.56,1.31e-32,"20260204_140017","2026-02-04 14:00:17.499946"
"wbc","location1",2.8,2.36,3.32,5.06e-32,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_o2sat","location3",11.26,7.52,16.86,6.78e-32,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_k","has_abg",0.12,0.08,0.17,6.49e-31,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_ca","has_abg",0.18,0.14,0.25,9.93e-30,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_o2sat","location2",0.06,0.04,0.1,1.41e-29,"20260204_140017","2026-02-04 14:00:17.499946"
"plt","age_at_encounter",0.97,0.97,0.98,1.58e-29,"20260204_140017","2026-02-04 14:00:17.499946"
"hr","has_abg",0.49,0.43,0.55,1.9e-29,"20260204_140017","2026-02-04 14:00:17.499946"
