"variable","term","OR","LCL","UCL","p.value","run_id","run_ts"
"temp_new","encounter_typeInpatient",0.63,0.61,0.64,0,"20260203_083925","2026-02-03 08:39:25.293672"
"temp_new","location1",18.13,17.55,18.72,0,"20260203_083925","2026-02-03 08:39:25.293672"
"temp_new","location2",4.05,3.9,4.21,0,"20260203_083925","2026-02-03 08:39:25.293672"
"temp_new","location3",22.32,21.71,22.95,0,"20260203_083925","2026-02-03 08:39:25.293672"
"temp_new","has_abg",0.52,0.5,0.53,0,"20260203_083925","2026-02-03 08:39:25.293672"
"sbp","encounter_typeInpatient",0.04,0.04,0.05,0,"20260203_083925","2026-02-03 08:39:25.293672"
"sbp","location3",2728.33,2283.9,3259.24,0,"20260203_083925","2026-02-03 08:39:25.293672"
"dbp","encounter_typeInpatient",0.05,0.04,0.05,0,"20260203_083925","2026-02-03 08:39:25.293672"
"dbp","location3",1223.5,1080.16,1385.87,0,"20260203_083925","2026-02-03 08:39:25.293672"
"hr","location1",12.03,11.65,12.41,0,"20260203_083925","2026-02-03 08:39:25.293672"
"hr","location2",4.53,4.36,4.7,0,"20260203_083925","2026-02-03 08:39:25.293672"
"hr","has_abg",0.55,0.53,0.56,0,"20260203_083925","2026-02-03 08:39:25.293672"
"sodium","age_at_encounter",0.97,0.97,0.97,0,"20260203_083925","2026-02-03 08:39:25.293672"
"sodium","has_abg",0.13,0.12,0.14,0,"20260203_083925","2026-02-03 08:39:25.293672"
"sodium","has_vbg",0.09,0.08,0.1,0,"20260203_083925","2026-02-03 08:39:25.293672"
"serum_cr","age_at_encounter",0.97,0.97,0.97,0,"20260203_083925","2026-02-03 08:39:25.293672"
"serum_cr","has_abg",0.21,0.2,0.22,0,"20260203_083925","2026-02-03 08:39:25.293672"
"serum_cr","has_vbg",0.21,0.19,0.23,0,"20260203_083925","2026-02-03 08:39:25.293672"
"serum_hco3","age_at_encounter",0.97,0.97,0.97,0,"20260203_083925","2026-02-03 08:39:25.293672"
"serum_hco3","has_abg",0.12,0.11,0.13,0,"20260203_083925","2026-02-03 08:39:25.293672"
