"variable","n_missing","total_n","pct_missing","run_id","run_ts"
"vbg_o2sat",444799,515286,86.3208004874963,"20260418_181847","2026-04-18 18:18:47.686485"
"bnp",421741,515286,81.8460039667292,"20260418_181847","2026-04-18 18:18:47.686485"
"vbg_co2",365623,515286,70.9553529496241,"20260418_181847","2026-04-18 18:18:47.686485"
"spo2",363720,515286,70.5860434787671,"20260418_181847","2026-04-18 18:18:47.686485"
"paco2",328044,515286,63.662509751866,"20260418_181847","2026-04-18 18:18:47.686485"
"serum_lac",308187,515286,59.8089216473958,"20260418_181847","2026-04-18 18:18:47.686485"
"curr_bmi",293545,515286,56.9673928653214,"20260418_181847","2026-04-18 18:18:47.686485"
"serum_phos",273168,515286,53.0128899290879,"20260418_181847","2026-04-18 18:18:47.686485"
"temp_new",247068,515286,47.9477416425053,"20260418_181847","2026-04-18 18:18:47.686485"
"hr",186698,515286,36.2319178087509,"20260418_181847","2026-04-18 18:18:47.686485"
"dbp",154565,515286,29.9959634067295,"20260418_181847","2026-04-18 18:18:47.686485"
"sbp",153161,515286,29.7234933609685,"20260418_181847","2026-04-18 18:18:47.686485"
"wbc",91444,515286,17.7462612995502,"20260418_181847","2026-04-18 18:18:47.686485"
"serum_ca",53331,515286,10.3497863322504,"20260418_181847","2026-04-18 18:18:47.686485"
"serum_cr",48785,515286,9.46755782225793,"20260418_181847","2026-04-18 18:18:47.686485"
"plt",41393,515286,8.03301467534534,"20260418_181847","2026-04-18 18:18:47.686485"
"serum_k",41266,515286,8.00836816835699,"20260418_181847","2026-04-18 18:18:47.686485"
"serum_cl",30694,515286,5.9566920118148,"20260418_181847","2026-04-18 18:18:47.686485"
"serum_hco3",29886,515286,5.79988588861331,"20260418_181847","2026-04-18 18:18:47.686485"
"sodium",27486,515286,5.33412512662871,"20260418_181847","2026-04-18 18:18:47.686485"
"age_at_encounter",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"sex",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"race_ethnicity",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"copd",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"asthma",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"osa",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"chf",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"acute_nmd",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"phtn",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"ckd",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"dm",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"location",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"encounter_type",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"has_abg",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"has_vbg",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"imv_proc",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"niv_proc",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
"hypercap_resp_failure",0,515286,0,"20260418_181847","2026-04-18 18:18:47.686485"
