page,text_len,blank,has_abs_path,code_like,text_hash,dup_text
1,2903,False,False,False,a5992a68ade760d62ff61b38d9128b91,False
2,4907,False,False,False,661d26be1d5060236849d5c79966f898,False
3,2057,False,False,False,39c3ccfab0504f1ababb48374bbeb64b,False
4,373,False,False,False,baab968087463759c338d19b964d2826,False
5,998,False,False,False,84bb5043ad32ed8d722fdcc440fbb85e,False
6,993,False,False,False,ba4a59134339223e8e43b43e58647647,False
7,44,False,False,False,13ba90a71d67d2353c9025625693bd6d,False
8,1980,False,False,False,2a0f0161063b833e3362b470d6faa19c,False
9,49,False,False,False,c19eb8fd233cde06401e2040fbe9b528,False
10,2334,False,False,False,21217ed7bf2a2e718386017e92668927,False
11,591,False,False,False,3db1391b95d03d6faa5ef56a4b39545f,False
12,194,False,False,False,08756adba84883198b89c984cbb89e1e,False
13,126,False,False,False,168327e2bf300d480a7cab4f993f9e8d,False
14,2,True,False,False,aab3238922bcc25a6f606eb525ffdc56,False
15,2142,False,False,False,54e30bb87a61df3b6e334241c9cc4dbe,False
16,75,False,False,False,36504e78d9be69126705af3a84837775,False
17,111,False,False,False,beeed3c8a2d4495acb4477d23df0f6c0,False
18,219,False,False,False,64ccf1e6bf1a83fb55cfa61b7656e4be,False
19,2,True,False,False,1f0e3dad99908345f7439f8ffabdffc4,False
20,112,False,False,False,5fb15626deb355d25b21c2e74bd3a9d6,False
21,65,False,False,False,d9be4cc676379cfcb540c6054723c409,False
22,49,False,False,False,ea26f91282bb55e300674d1dcd41ba96,False
23,864,False,False,False,3704abe32960bebced60ac392ad94685,False
24,1110,False,False,False,69b3d17be252d297ebc9aea715e28e6b,False
25,1544,False,False,False,69eeda0e3ebd0eb4f5b304996e51a674,False
26,1264,False,False,False,e364775df1d588eb1211ed8083d8aca7,False
27,1236,False,False,False,bf3f6559236d9c32316e2d15a1917964,False
28,1117,False,False,False,e998b38e393d8e243b29eff5c6d0b4cf,False
29,1467,False,False,False,95cba3abe5fa64dc1029795d0d8fb697,False
30,1804,False,False,False,b533f926cc2ffdd45205daf339dd3186,False
31,779,False,False,False,e96e6090705b40725c02013650217954,False
32,51,False,False,False,35a7f32f20efa77d96b9fd775b5b3e11,False
33,27,False,False,False,ac8d500779e64d822ce44890fb3caa51,False
34,905,False,False,False,8040445a452aac0344a6b2304ea875b8,False
35,1664,False,False,False,211a4a1e03f9c2f084c25759e6a845b6,False
36,580,False,False,False,b6ff501497d0a350670c1390511e02a7,False
37,1427,False,False,False,2fd836ac9a36aa9f16227c666295afd9,False
38,1433,False,False,False,7100803c75880adb9a1a9fa732cff825,False
39,1286,False,False,False,9f35f866989c5ee484f45d8d38ccbcf2,False
40,73,False,False,False,b5b8d1f3bb7ba95daf4d18f8ca974ee8,False
