"imp","group","outcome","outcome_var","co2_scale","status","error_message","n_standardized","n_grid","m_used","m_total","min_required","passed_threshold","run_id","run_ts"
1,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
1,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
1,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
1,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
2,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
2,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
2,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
2,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
3,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
3,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
3,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
3,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
4,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
4,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
4,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
4,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
5,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
5,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
5,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
5,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
6,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
6,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
6,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
