"variable","group","missing_target","missing_tested","missing_weighted","smd_pre","smd_post","component_status","reason","run_id","run_ts"
"curr_bmi","ABG",0.570116945868768,0.582899277645596,0.546743256170908,0.025819804407856,-0.0472139283211792,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"curr_bmi","VBG",0.570116945868768,0.674771955166787,0.72186113108031,0.21139897771045,0.306517249794296,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"dbp","ABG",0.301616078306269,0.271772447645382,0.280145817475553,-0.0650245411094123,-0.0467802953963772,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"dbp","VBG",0.301616078306269,0.423080009630046,0.407428312584087,0.264650654788628,0.230548087659258,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"hr","ABG",0.362757837240607,0.383169356740188,0.365806176668462,0.0424536155537554,0.00634019579728885,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"hr","VBG",0.362757837240607,0.445764117379558,0.466410373811856,0.172643526398835,0.215585367804567,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"plt","ABG",0.0802203530940469,0.058924399288363,0.0513926936644956,-0.078399431571382,-0.106126832046705,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"plt","VBG",0.0802203530940469,0.0449669635930771,0.0536032981992198,-0.129782667780905,-0.0979886598599666,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"sbp","ABG",0.298908349608235,0.268707264270251,0.277880086978585,-0.0659729842684137,-0.0459353438504794,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"sbp","VBG",0.298908349608235,0.419816494128347,0.40400742380046,0.264118690672218,0.229584450052456,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_ca","ABG",0.102948156332428,0.0501146764409577,0.0461351689650143,-0.173856590451144,-0.186951764247449,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_ca","VBG",0.102948156332428,0.0720915924350641,0.105764604557394,-0.101538210302511,0.00926795067409015,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_cl","ABG",0.059383291446534,0.0225708957623304,0.021020159883835,-0.155759880076385,-0.162321323035346,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_cl","VBG",0.059383291446534,0.0177888344969639,0.0231998172211762,-0.175993643062125,-0.153098800046505,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_cr","ABG",0.0946537919873017,0.0560092598546717,0.0481015200667283,-0.13201148048719,-0.159024679485981,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_cr","VBG",0.0946537919873017,0.0570580210255999,0.0838494202015366,-0.128428864597922,-0.036908225729781,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_hco3","ABG",0.0577493172322033,0.0176194456948106,0.0162387277823828,-0.172032742222779,-0.177951741701502,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_hco3","VBG",0.0577493172322033,0.0186715886900463,0.0236695052946644,-0.167522310523235,-0.146096742337898,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_k","ABG",0.0797457224889318,0.0387542065890725,0.0333235161483168,-0.151316524695889,-0.171363434066156,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_k","VBG",0.0797457224889318,0.0488992322713533,0.0710177049461673,-0.113867067277835,-0.0322186982614227,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_lac","ABG",0.598672590471596,0.388313720446702,0.416075904390763,-0.429157523897138,-0.372519312644149,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_lac","VBG",0.598672590471596,0.475135756894845,0.499628431562807,-0.252030074137673,-0.20206205703967,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_phos","ABG",0.528691809120688,0.31933637708186,0.382806884510393,-0.4194019535428,-0.292251420362737,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"serum_phos","VBG",0.528691809120688,0.399539897814515,0.436628120470338,-0.258730157503387,-0.184431282696079,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"sodium","ABG",0.0528940795667634,0.0196128866310848,0.0183512934764448,-0.148694901314667,-0.154331492226267,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"sodium","VBG",0.0528940795667634,0.015247572425969,0.0205388584542535,-0.168198407880423,-0.144557811363224,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"temp_new","ABG",0.479991596704041,0.412963796540415,0.43237339287749,-0.134163064029224,-0.0953127525197383,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"temp_new","VBG",0.479991596704041,0.484123799588048,0.524703331741853,0.00827103080744834,0.0894951550862786,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"wbc","ABG",0.177379572209989,0.126036910809594,0.124842486666114,-0.134408529733266,-0.137535379581409,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
"wbc","VBG",0.177379572209989,0.0799293796645534,0.0930032691356417,-0.255112157122322,-0.220886384367763,"completed","baseline_missingness_indicators_available","20260421_121048","2026-04-21 12:10:48.40139"
