"group","proxy_field","proxy_type","unweighted_mean_tested","weighted_mean_tested","missing_fraction_tested","n_tested","m_used","run_id","run_ts"
"ABG","art_punct_proc","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","blood_cx_proc","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","cchs_dx","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","cog_signs_dx","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","headache_dx","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","imv_proc","binary_outcome",0.25738966411592,0.217973321262846,0,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","mal_fat_dx","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","meas_arterial_gas_proc","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","meas_venous_o2_proc","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","niv_proc","binary_outcome",0.100529440764795,0.0933242101146586,0,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","ohs_code","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","other_sleep_hypovent_dx","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","resp_acid_dx","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","sepsis_dx","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","sleep_hypovent_dx","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","stupor_dx","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","tte_proc","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","tte_proc_first_date","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","tte_proc_last_date","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","vent_proc","coding_density_proxy",NA,NA,1,46653,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","art_punct_proc","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","blood_cx_proc","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","cchs_dx","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","cog_signs_dx","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","headache_dx","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","imv_proc","binary_outcome",0.154829735441244,0.141386711869654,0,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","mal_fat_dx","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","meas_arterial_gas_proc","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","meas_venous_o2_proc","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","binary_outcome",0.0710750876066665,0.0853902726759026,0,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","ohs_code","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","other_sleep_hypovent_dx","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","resp_acid_dx","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","sepsis_dx","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","sleep_hypovent_dx","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","stupor_dx","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","tte_proc","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","tte_proc_first_date","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","tte_proc_last_date","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","vent_proc","coding_density_proxy",NA,NA,1,37383,20,"20260421_121048","2026-04-21 12:10:48.40139"
