"sentinel_concept","group","imp","n_tested","events","unweighted_rate","weighted_rate","weighted_n","ess","date_missing_fraction","run_id","run_ts"
"CT chest / CT pulmonary angiography","ABG",1,46653,2167,0.0464493173000664,0.047474056927475,46653,33807.6982743526,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",1,37383,3022,0.0808388839846989,0.0718585965249291,37382.9999999999,25848.3157035386,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",1,46653,14118,0.302617195035689,0.296462539527475,46653,33807.6982743526,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",1,37383,15186,0.40622742958029,0.395834395693803,37382.9999999999,25848.3157035386,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",1,46653,6888,0.147643238376953,0.130023657751302,46653,33807.6982743526,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",1,37383,6370,0.17039830939197,0.199968454007998,37382.9999999999,25848.3157035386,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",2,46653,2167,0.0464493173000664,0.0476524130660543,46652.9999999997,33974.9456326413,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",2,37383,3022,0.0808388839846989,0.0719664898141348,37383.0000000002,25829.433392009,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",2,46653,14118,0.302617195035689,0.295687034116186,46652.9999999997,33974.9456326413,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",2,37383,15186,0.40622742958029,0.39707373875734,37383.0000000002,25829.433392009,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",2,46653,6888,0.147643238376953,0.130130177786074,46652.9999999997,33974.9456326413,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",2,37383,6370,0.17039830939197,0.201532082903454,37383.0000000002,25829.433392009,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",3,46653,2167,0.0464493173000664,0.0479622478656961,46653.0000000002,33671.6219504934,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",3,37383,3022,0.0808388839846989,0.0719590589069229,37383,25980.7428666388,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",3,46653,14118,0.302617195035689,0.296149034517535,46653.0000000002,33671.6219504934,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",3,37383,15186,0.40622742958029,0.39573462405489,37383,25980.7428666388,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",3,46653,6888,0.147643238376953,0.130047760771615,46653.0000000002,33671.6219504934,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",3,37383,6370,0.17039830939197,0.199275273588966,37383,25980.7428666388,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",4,46653,2167,0.0464493173000664,0.0472035010362174,46653.0000000009,33720.5619499038,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",4,37383,3022,0.0808388839846989,0.0716953504435258,37382.9999999998,25857.803298939,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",4,46653,14118,0.302617195035689,0.295570249379522,46653.0000000009,33720.5619499038,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",4,37383,15186,0.40622742958029,0.395459693314814,37382.9999999998,25857.803298939,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",4,46653,6888,0.147643238376953,0.129643199748438,46653.0000000009,33720.5619499038,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",4,37383,6370,0.17039830939197,0.199494054600505,37382.9999999998,25857.803298939,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",5,46653,2167,0.0464493173000664,0.0475521123723065,46653.0000000003,33769.3820799646,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",5,37383,3022,0.0808388839846989,0.072433614855444,37383.0000000004,25831.005472971,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",5,46653,14118,0.302617195035689,0.296440659255392,46653.0000000003,33769.3820799646,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",5,37383,15186,0.40622742958029,0.396300035961508,37383.0000000004,25831.005472971,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",5,46653,6888,0.147643238376953,0.130047362272912,46653.0000000003,33769.3820799646,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",5,37383,6370,0.17039830939197,0.200592836376261,37383.0000000004,25831.005472971,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",6,46653,2167,0.0464493173000664,0.0479293473121965,46653.0000000001,33955.1711254675,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",6,37383,3022,0.0808388839846989,0.0714570287727018,37383.0000000003,25771.4453205379,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",6,46653,14118,0.302617195035689,0.295964054706875,46653.0000000001,33955.1711254675,0,"20260421_121048","2026-04-21 12:10:48.40139"
