"setting_var","setting_level","group","outcome","n_unweighted","weighted_n","weighted_event_rate","ess","m_used","run_id","run_ts"
"encounter_type","Emergency","ABG","IMV",7221,13667.0046373135,0.13334128133177,5944.49722793555,20,"20260421_121048","2026-04-21 12:10:48.40139"
"encounter_type","Emergency","ABG","NIV",7221,13667.0046373135,0.0701521883444443,5944.49722793555,20,"20260421_121048","2026-04-21 12:10:48.40139"
"encounter_type","Emergency","VBG","IMV",11850,11724.0243476452,0.0447777658797693,8167.4547690201,20,"20260421_121048","2026-04-21 12:10:48.40139"
"encounter_type","Emergency","VBG","NIV",11850,11724.0243476452,0.0542872606822006,8167.4547690201,20,"20260421_121048","2026-04-21 12:10:48.40139"
"encounter_type","Inpatient","ABG","IMV",39432,32985.9953626865,0.253058490582697,32965.7081170308,20,"20260421_121048","2026-04-21 12:10:48.40139"
"encounter_type","Inpatient","ABG","NIV",39432,32985.9953626865,0.102962862276934,32965.7081170308,20,"20260421_121048","2026-04-21 12:10:48.40139"
"encounter_type","Inpatient","VBG","IMV",25533,25658.9756523548,0.185435171188005,17605.4078765829,20,"20260421_121048","2026-04-21 12:10:48.40139"
"encounter_type","Inpatient","VBG","NIV",25533,25658.9756523548,0.0996307769838406,17605.4078765829,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","0","ABG","IMV",25895,23933.2246174329,0.180801777042641,18897.7472030999,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","0","ABG","NIV",25895,23933.2246174329,0.0962661934470301,18897.7472030999,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","0","VBG","IMV",11356,17921.4371349187,0.133115874226714,9158.8681653489,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","0","VBG","NIV",11356,17921.4371349187,0.0939326312682745,9158.8681653489,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","1","ABG","IMV",8961,10266.0905522962,0.239546976458158,6826.45883967796,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","1","ABG","NIV",8961,10266.0905522962,0.0316672756232438,6826.45883967796,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","1","VBG","IMV",15997,9450.28647675578,0.119427658110348,14190.6692870266,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","1","VBG","NIV",15997,9450.28647675578,0.0231835547437887,14190.6692870266,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","2","ABG","IMV",3914,3110.77795426055,0.264609189795971,3184.73485416682,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","2","ABG","NIV",3914,3110.77795426055,0.112179907102273,3184.73485416682,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","2","VBG","IMV",3423,2853.91966295715,0.18797802841296,2883.55263815396,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","2","VBG","NIV",3423,2853.91966295715,0.116870010741703,2883.55263815396,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","3","ABG","IMV",7883,9343.65992521293,0.273859253516738,5581.09882468565,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","3","ABG","NIV",7883,9343.65992521293,0.147251583575192,5581.09882468565,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","3","VBG","IMV",6607,7160.52294688676,0.173116277221458,5095.07375503552,20,"20260421_121048","2026-04-21 12:10:48.40139"
"location","3","VBG","NIV",6607,7160.52294688676,0.133208794826568,5095.07375503552,20,"20260421_121048","2026-04-21 12:10:48.40139"
