"batch","stage","status","failure_stage","m_batch","seed","ok","error_message","started_at","finished_at","m_done_before","m_done_after","seconds","gc_vcells_used_mb_pre","gc_vcells_limit_mb_pre","gc_vcells_frac_pre","gc_vcells_used_mb_post","gc_vcells_limit_mb_post","gc_vcells_frac_post","rss_mb","imp_b_size_bytes","imp_acc_size_bytes","checkpoint_path","notes","run_id","run_ts"
1,"batch_started","started",NA,2,20351206,NA,NA,"2026-04-21 12:19:38.368503",NA,0,NA,NA,4532.4,16384,0.2766357421875,NA,NA,NA,3297.234375,NA,NA,NA,"batch entry","20260421_121048","2026-04-21 12:10:48.40139"
1,"mice_call_entered","started",NA,2,20351206,NA,NA,"2026-04-21 12:19:38.748119",NA,0,0,NA,4532.4,16384,0.2766357421875,NA,NA,NA,3297.265625,NA,NA,NA,"about to call mice::mice()","20260421_121048","2026-04-21 12:10:48.40139"
1,"mice_returned","ok",NA,2,20351206,TRUE,NA,"2026-04-21 12:19:38.748119","2026-04-21 12:20:09.859651",0,0,31.1115319728851,4532.4,16384,0.2766357421875,4573.5,16384,0.279144287109375,3002.28125,119192960,NA,NA,"mice() returned successfully","20260421_121048","2026-04-21 12:10:48.40139"
1,"ibind_started","started",NA,2,20351206,NA,NA,"2026-04-21 12:20:11.711445",NA,0,0,NA,4580.3,16384,0.279559326171875,NA,NA,NA,3005.3125,119192960,NA,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_01.rds","initial accumulator assignment","20260421_121048","2026-04-21 12:10:48.40139"
1,"ibind_completed","ok",NA,2,20351206,TRUE,NA,"2026-04-21 12:20:11.711445","2026-04-21 12:20:12.13811",0,2,0.42666482925415,4580.3,16384,0.279559326171875,4580.3,16384,0.279559326171875,3005.3125,119192960,119192960,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_01.rds","initialized accumulator","20260421_121048","2026-04-21 12:10:48.40139"
1,"checkpoint_started","started",NA,2,20351206,NA,NA,"2026-04-21 12:20:12.587435",NA,0,2,NA,4580.3,16384,0.279559326171875,NA,NA,NA,3005.34375,119192960,119192960,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_01.rds","about to save accumulated mids checkpoint","20260421_121048","2026-04-21 12:10:48.40139"
1,"checkpoint_saved","completed",NA,2,20351206,TRUE,NA,"2026-04-21 12:20:12.587435","2026-04-21 12:20:14.086574",0,2,1.49913907051086,4580.3,16384,0.279559326171875,4580.3,16384,0.279559326171875,3005.546875,119192960,119192960,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_01.rds","saved accumulated mids checkpoint","20260421_121048","2026-04-21 12:10:48.40139"
2,"batch_started","started",NA,2,20451206,NA,NA,"2026-04-21 12:20:15.668863",NA,2,NA,NA,4580.3,16384,0.279559326171875,NA,NA,NA,3005.625,NA,119192960,NA,"batch entry","20260421_121048","2026-04-21 12:10:48.40139"
2,"mice_call_entered","started",NA,2,20451206,NA,NA,"2026-04-21 12:20:16.120229",NA,2,2,NA,4580.3,16384,0.279559326171875,NA,NA,NA,3005.65625,NA,119192960,NA,"about to call mice::mice()","20260421_121048","2026-04-21 12:10:48.40139"
2,"mice_returned","ok",NA,2,20451206,TRUE,NA,"2026-04-21 12:20:16.120229","2026-04-21 12:20:46.548634",2,2,30.428405046463,4580.3,16384,0.279559326171875,4621.4,16384,0.28206787109375,2976.8125,119192960,119192960,NA,"mice() returned successfully","20260421_121048","2026-04-21 12:10:48.40139"
2,"ibind_started","started",NA,2,20451206,NA,NA,"2026-04-21 12:20:48.521103",NA,2,2,NA,4628.3,16384,0.282489013671875,NA,NA,NA,2977.640625,119192960,119192960,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_02.rds","about to call mice::ibind()","20260421_121048","2026-04-21 12:10:48.40139"
2,"ibind_completed","ok",NA,2,20451206,TRUE,NA,"2026-04-21 12:20:48.521103","2026-04-21 12:20:50.036816",2,4,1.51571297645569,4628.3,16384,0.282489013671875,4628.3,16384,0.282489013671875,3061.5625,119192960,130271080,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_02.rds","mice::ibind() completed","20260421_121048","2026-04-21 12:10:48.40139"
2,"checkpoint_started","started",NA,2,20451206,NA,NA,"2026-04-21 12:20:50.484435",NA,2,4,NA,4628.3,16384,0.282489013671875,NA,NA,NA,3061.5625,119192960,130271080,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_02.rds","about to save accumulated mids checkpoint","20260421_121048","2026-04-21 12:10:48.40139"
2,"checkpoint_saved","completed",NA,2,20451206,TRUE,NA,"2026-04-21 12:20:50.484435","2026-04-21 12:20:52.292504",2,4,1.8080689907074,4628.3,16384,0.282489013671875,4628.3,16384,0.282489013671875,3065.015625,119192960,130271080,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_02.rds","saved accumulated mids checkpoint","20260421_121048","2026-04-21 12:10:48.40139"
3,"batch_started","started",NA,2,20551206,NA,NA,"2026-04-21 12:20:53.739795",NA,4,NA,NA,4628.3,16384,0.282489013671875,NA,NA,NA,3065.046875,NA,130271080,NA,"batch entry","20260421_121048","2026-04-21 12:10:48.40139"
3,"mice_call_entered","started",NA,2,20551206,NA,NA,"2026-04-21 12:20:54.165398",NA,4,4,NA,4628.3,16384,0.282489013671875,NA,NA,NA,3065.046875,NA,130271080,NA,"about to call mice::mice()","20260421_121048","2026-04-21 12:10:48.40139"
3,"mice_returned","ok",NA,2,20551206,TRUE,NA,"2026-04-21 12:20:54.165398","2026-04-21 12:21:25.773335",4,4,31.6079370975494,4628.3,16384,0.282489013671875,4632,16384,0.28271484375,2786.234375,119192960,130271080,NA,"mice() returned successfully","20260421_121048","2026-04-21 12:10:48.40139"
3,"ibind_started","started",NA,2,20551206,NA,NA,"2026-04-21 12:21:27.750612",NA,4,4,NA,4638.9,16384,0.283135986328125,NA,NA,NA,2806.9375,119192960,130271080,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_03.rds","about to call mice::ibind()","20260421_121048","2026-04-21 12:10:48.40139"
