"batch","combine_stage","left_m","right_m","left_size_bytes","right_size_bytes","rss_mb","gc_vcells_frac","started_at","finished_at","ok","error_message","run_id","run_ts"
1,"ibind_started",0,2,NA,119192960,3005.3125,0.279559326171875,"2026-04-21 12:20:11.711445",NA,NA,NA,"20260421_121048","2026-04-21 12:10:48.40139"
1,"ibind_completed",0,2,NA,119192960,3005.3125,0.279559326171875,"2026-04-21 12:20:11.711445","2026-04-21 12:20:12.13811",TRUE,NA,"20260421_121048","2026-04-21 12:10:48.40139"
2,"ibind_started",2,2,119192960,119192960,2977.640625,0.282489013671875,"2026-04-21 12:20:48.521103",NA,NA,NA,"20260421_121048","2026-04-21 12:10:48.40139"
2,"ibind_completed",2,2,119192960,119192960,3061.5625,0.282489013671875,"2026-04-21 12:20:48.521103","2026-04-21 12:20:50.036816",TRUE,NA,"20260421_121048","2026-04-21 12:10:48.40139"
3,"ibind_started",4,2,130271080,119192960,2806.9375,0.283135986328125,"2026-04-21 12:21:27.750612",NA,NA,NA,"20260421_121048","2026-04-21 12:10:48.40139"
3,"ibind_completed",4,2,130271080,119192960,2900.453125,0.283135986328125,"2026-04-21 12:21:27.750612","2026-04-21 12:21:29.268888",TRUE,NA,"20260421_121048","2026-04-21 12:10:48.40139"
4,"ibind_started",6,2,141349152,119192960,2903.703125,0.28377685546875,"2026-04-21 12:22:07.604176",NA,NA,NA,"20260421_121048","2026-04-21 12:10:48.40139"
4,"ibind_completed",6,2,141349152,119192960,3018.890625,0.28377685546875,"2026-04-21 12:22:07.604176","2026-04-21 12:22:09.14584",TRUE,NA,"20260421_121048","2026-04-21 12:10:48.40139"
5,"ibind_started",8,2,152427208,119192960,3004.984375,0.284423828125,"2026-04-21 12:22:48.599004",NA,NA,NA,"20260421_121048","2026-04-21 12:10:48.40139"
5,"ibind_completed",8,2,152427208,119192960,3109.734375,0.284423828125,"2026-04-21 12:22:48.599004","2026-04-21 12:22:50.156803",TRUE,NA,"20260421_121048","2026-04-21 12:10:48.40139"
6,"ibind_started",10,2,163508944,119192960,2863.421875,0.285064697265625,"2026-04-21 12:23:29.766853",NA,NA,NA,"20260421_121048","2026-04-21 12:10:48.40139"
6,"ibind_completed",10,2,163508944,119192960,2958.40625,0.28507080078125,"2026-04-21 12:23:29.766853","2026-04-21 12:23:31.334509",TRUE,NA,"20260421_121048","2026-04-21 12:10:48.40139"
7,"ibind_started",12,2,174585816,119192960,2840.265625,0.285711669921875,"2026-04-21 12:24:12.297904",NA,NA,NA,"20260421_121048","2026-04-21 12:10:48.40139"
7,"ibind_completed",12,2,174585816,119192960,2942.546875,0.285711669921875,"2026-04-21 12:24:12.297904","2026-04-21 12:24:13.851454",TRUE,NA,"20260421_121048","2026-04-21 12:10:48.40139"
8,"ibind_started",14,2,185662704,119192960,2766.65625,0.286358642578125,"2026-04-21 12:24:56.051167",NA,NA,NA,"20260421_121048","2026-04-21 12:10:48.40139"
8,"ibind_completed",14,2,185662704,119192960,2871.296875,0.286358642578125,"2026-04-21 12:24:56.051167","2026-04-21 12:24:57.675809",TRUE,NA,"20260421_121048","2026-04-21 12:10:48.40139"
9,"ibind_started",16,2,196739576,119192960,2904.6875,0.28699951171875,"2026-04-21 12:25:38.209254",NA,NA,NA,"20260421_121048","2026-04-21 12:10:48.40139"
9,"ibind_completed",16,2,196739576,119192960,3002.640625,0.28699951171875,"2026-04-21 12:25:38.209254","2026-04-21 12:25:39.730478",TRUE,NA,"20260421_121048","2026-04-21 12:10:48.40139"
10,"ibind_started",18,2,207817728,119192960,3012.84375,0.287646484375,"2026-04-21 12:26:19.582016",NA,NA,NA,"20260421_121048","2026-04-21 12:10:48.40139"
10,"ibind_completed",18,2,207817728,119192960,3126.109375,0.287646484375,"2026-04-21 12:26:19.582016","2026-04-21 12:26:21.191358",TRUE,NA,"20260421_121048","2026-04-21 12:10:48.40139"
