"step_name","seconds","start_time","end_time","notes","run_id","run_mode","n_subset","run_ts"
"mice_batch_1",31.0968308448792,"2026-04-21 12:19:38.762015","2026-04-21 12:20:09.858846","batch=1; m=2; maxit=5","20260421_121048","pilot",128521,"2026-04-21 12:10:48.40139"
"mice_batch_2",30.388298034668,"2026-04-21 12:20:16.15936","2026-04-21 12:20:46.547658","batch=2; m=2; maxit=5","20260421_121048","pilot",128521,"2026-04-21 12:10:48.40139"
"mice_batch_3",31.5716669559479,"2026-04-21 12:20:54.200743","2026-04-21 12:21:25.77241","batch=3; m=2; maxit=5","20260421_121048","pilot",128521,"2026-04-21 12:10:48.40139"
"mice_batch_4",31.717756986618,"2026-04-21 12:21:33.873034","2026-04-21 12:22:05.590791","batch=4; m=2; maxit=5","20260421_121048","pilot",128521,"2026-04-21 12:10:48.40139"
"mice_batch_5",32.3540420532227,"2026-04-21 12:22:14.112493","2026-04-21 12:22:46.466535","batch=5; m=2; maxit=5","20260421_121048","pilot",128521,"2026-04-21 12:10:48.40139"
"mice_batch_6",32.1425149440765,"2026-04-21 12:22:55.549313","2026-04-21 12:23:27.691828","batch=6; m=2; maxit=5","20260421_121048","pilot",128521,"2026-04-21 12:10:48.40139"
"mice_batch_7",33.1091368198395,"2026-04-21 12:23:37.0675","2026-04-21 12:24:10.176637","batch=7; m=2; maxit=5","20260421_121048","pilot",128521,"2026-04-21 12:10:48.40139"
"mice_batch_8",33.8607819080353,"2026-04-21 12:24:20.072823","2026-04-21 12:24:53.933605","batch=8; m=2; maxit=5","20260421_121048","pilot",128521,"2026-04-21 12:10:48.40139"
"mice_batch_9",32.0683741569519,"2026-04-21 12:25:04.153534","2026-04-21 12:25:36.221908","batch=9; m=2; maxit=5","20260421_121048","pilot",128521,"2026-04-21 12:10:48.40139"
"mice_batch_10",31.4682037830353,"2026-04-21 12:25:46.28642","2026-04-21 12:26:17.754624","batch=10; m=2; maxit=5","20260421_121048","pilot",128521,"2026-04-21 12:10:48.40139"
"mi_single_pass",451.923486948013,"2026-04-21 12:27:46.173134","2026-04-21 12:35:18.096621","m=20","20260421_121048","pilot",128521,"2026-04-21 12:10:48.40139"
