"method","group","outcome","metric_type","level","estimate","lcl","ucl","n_model","events","run_id","run_ts"
"Crude","ABG","IMV","OR","Low vs normal",1.35963147538277,1.29307385581075,1.42955069593229,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","IMV","OR","High vs normal",1.24766381081715,1.18651624577209,1.31188936533494,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","NIV","OR","Low vs normal",1.05516221457245,0.971133189227714,1.14597134107606,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","NIV","OR","High vs normal",2.40720366068036,2.246127311469,2.58035042334085,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","Death (60d)","OR","Low vs normal",1.89861454910965,1.79336505691357,2.01008163472245,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","Death (60d)","OR","High vs normal",1.43549239251751,1.35313286237794,1.52277678456361,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","Hypercapnic RF","OR","Low vs normal",0.956223674806948,0.86503678698005,1.0561882180632,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","Hypercapnic RF","OR","High vs normal",5.87412664607505,5.46569317559247,6.31741454038113,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","IMV","OR","Low vs normal",1.5344230653768,1.43284394883096,1.64306674855621,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","IMV","OR","High vs normal",1.69826618375804,1.58708366160042,1.81715394510413,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","NIV","OR","Low vs normal",1.16402969033114,1.04369755088621,1.29735966445661,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","NIV","OR","High vs normal",2.74549101612148,2.50668645283837,3.00836087758135,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","Death (60d)","OR","Low vs normal",1.71934495690765,1.60147439065003,1.84583605415459,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","Death (60d)","OR","High vs normal",1.55433185240606,1.44511561522474,1.67162795487834,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","Hypercapnic RF","OR","Low vs normal",1.07517192041815,0.945071529921357,1.2217709803976,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","Hypercapnic RF","OR","High vs normal",8.02371948066474,7.32073401380688,8.80625082419629,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","IMV","OR","Low vs normal",1.3834916405827,1.31474199461926,1.45577892811595,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","IMV","OR","High vs normal",1.30569795143389,1.24059623311581,1.37415351182724,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","NIV","OR","Low vs normal",1.03795354467831,0.954137462050401,1.12866381296332,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","NIV","OR","High vs normal",2.62032325944476,2.44040426493965,2.81410605183333,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","Death (60d)","OR","Low vs normal",1.97690024929173,1.86467566378047,2.09594500562217,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","Death (60d)","OR","High vs normal",1.3973777111803,1.31553262298988,1.48423114096161,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","Hypercapnic RF","OR","Low vs normal",0.945919682706687,0.855394161210037,1.04520383452099,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","Hypercapnic RF","OR","High vs normal",6.09846238569677,5.66966529601344,6.56418454400687,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","IMV","OR","Low vs normal",1.33915316773694,1.24687895852952,1.43811051770559,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","IMV","OR","High vs normal",1.62423814898895,1.51435601523846,1.74203103570013,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","NIV","OR","Low vs normal",0.981157748978112,0.876440871693901,1.09764863070175,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","NIV","OR","High vs normal",2.65945547538733,2.41999491536789,2.92386436013282,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","Death (60d)","OR","Low vs normal",1.74494733941361,1.62029750893837,1.87916722778156,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","Death (60d)","OR","High vs normal",1.39809509176472,1.29708310168095,1.50681311510722,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","Hypercapnic RF","OR","Low vs normal",0.902622034303539,0.791564982707351,1.02806746398089,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","VBG","Hypercapnic RF","OR","High vs normal",8.08736118299833,7.36463106425447,8.89303433011502,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","IMV","OR","Low vs normal",1.3834916405827,1.31477307951517,1.45580187895848,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","IMV","OR","High vs normal",1.30569795143389,1.24058988483407,1.37422298957941,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","NIV","OR","Low vs normal",1.03795354467831,0.954177126506117,1.12908550308176,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","NIV","OR","High vs normal",2.62032325944476,2.43905712927205,2.81506074687001,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","Death (60d)","OR","Low vs normal",1.97690024929173,1.86475094324366,2.09579440611605,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","Death (60d)","OR","High vs normal",1.3973777111803,1.31547902445602,1.48437522104235,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","Hypercapnic RF","OR","Low vs normal",0.945919682706687,0.85570016996057,1.04565135960315,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","ABG","Hypercapnic RF","OR","High vs normal",6.09846238569677,5.66660552401812,6.56323142878428,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","IMV","OR","Low vs normal",1.33915316773694,1.24610526885837,1.43914904420783,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","IMV","OR","High vs normal",1.62423814898895,1.51408515891263,1.74240500879468,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","NIV","OR","Low vs normal",0.981157748978112,0.875655829084507,1.09937089025749,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","NIV","OR","High vs normal",2.65945547538733,2.41856545963876,2.92433822594325,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","Death (60d)","OR","Low vs normal",1.74494733941361,1.6199977256367,1.87953425436442,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","Death (60d)","OR","High vs normal",1.39809509176472,1.29694256027682,1.50713681969031,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","Hypercapnic RF","OR","Low vs normal",0.902622034303539,0.790733979457411,1.03034213525175,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Imputed","VBG","Hypercapnic RF","OR","High vs normal",8.08736118299832,7.3576086290708,8.8894930678758,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","IMV","OR","Low vs normal",1.38049276646413,1.30135581308305,1.46444212958547,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","IMV","OR","High vs normal",1.33157870758831,1.25433741369096,1.41357647085172,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","NIV","OR","Low vs normal",0.984331714331803,0.89148897806217,1.08684341330333,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","NIV","OR","High vs normal",2.62009147667842,2.40654660336144,2.8525852508213,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","ABG","Death (60d)","OR","Low vs normal",1.8959891486978,1.77108165237302,2.02970588462891,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
