"panel","group","outcome","n_model","events","measure","estimate","run_id","run_ts"
"Odds ratios","ABG","IMV",46653,12008,"Low vs normal OR (95% CI)","1.38 (1.30, 1.46)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","ABG","IMV",46653,12008,"High vs normal OR (95% CI)","1.33 (1.25, 1.41)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","ABG","NIV",46653,4690,"Low vs normal OR (95% CI)","0.98 (0.89, 1.09)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","ABG","NIV",46653,4690,"High vs normal OR (95% CI)","2.62 (2.41, 2.85)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","ABG","Death (60d)",46653,8249,"Low vs normal OR (95% CI)","1.90 (1.77, 2.03)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","ABG","Death (60d)",46653,8249,"High vs normal OR (95% CI)","1.38 (1.28, 1.48)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","ABG","Hypercapnic RF",46653,4990,"Low vs normal OR (95% CI)","0.95 (0.84, 1.07)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","ABG","Hypercapnic RF",46653,4990,"High vs normal OR (95% CI)","6.39 (5.86, 6.97)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","VBG","IMV",37383,5788,"Low vs normal OR (95% CI)","1.39 (1.28, 1.52)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","VBG","IMV",37383,5788,"High vs normal OR (95% CI)","1.56 (1.43, 1.70)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","VBG","NIV",37383,2657,"Low vs normal OR (95% CI)","0.97 (0.84, 1.11)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","VBG","NIV",37383,2657,"High vs normal OR (95% CI)","2.85 (2.55, 3.19)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","VBG","Death (60d)",37383,5087,"Low vs normal OR (95% CI)","1.74 (1.59, 1.91)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","VBG","Death (60d)",37383,5087,"High vs normal OR (95% CI)","1.37 (1.25, 1.50)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","VBG","Hypercapnic RF",37383,3323,"Low vs normal OR (95% CI)","0.88 (0.75, 1.03)","20260421_121048","2026-04-21 12:10:48.40139"
"Odds ratios","VBG","Hypercapnic RF",37383,3323,"High vs normal OR (95% CI)","8.13 (7.23, 9.14)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","IMV",NA,NA,"Normal probability (95% CI)","0.19 (0.18, 0.19)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","IMV",NA,NA,"Low probability (95% CI)","0.24 (0.23, 0.25)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","IMV",NA,NA,"High probability (95% CI)","0.23 (0.23, 0.24)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","NIV",NA,NA,"Normal probability (95% CI)","0.07 (0.06, 0.07)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","NIV",NA,NA,"Low probability (95% CI)","0.07 (0.06, 0.07)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","NIV",NA,NA,"High probability (95% CI)","0.15 (0.14, 0.16)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","Death (60d)",NA,NA,"Normal probability (95% CI)","0.11 (0.11, 0.12)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","Death (60d)",NA,NA,"Low probability (95% CI)","0.19 (0.18, 0.20)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","Death (60d)",NA,NA,"High probability (95% CI)","0.15 (0.14, 0.16)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","Hypercapnic RF",NA,NA,"Normal probability (95% CI)","0.04 (0.04, 0.05)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","Hypercapnic RF",NA,NA,"Low probability (95% CI)","0.04 (0.04, 0.05)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","ABG","Hypercapnic RF",NA,NA,"High probability (95% CI)","0.22 (0.21, 0.23)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","VBG","IMV",NA,NA,"Normal probability (95% CI)","0.12 (0.11, 0.12)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","VBG","IMV",NA,NA,"Low probability (95% CI)","0.15 (0.14, 0.16)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","VBG","IMV",NA,NA,"High probability (95% CI)","0.17 (0.16, 0.18)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","VBG","NIV",NA,NA,"Normal probability (95% CI)","0.06 (0.06, 0.07)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","VBG","NIV",NA,NA,"Low probability (95% CI)","0.06 (0.05, 0.07)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","VBG","NIV",NA,NA,"High probability (95% CI)","0.15 (0.14, 0.16)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","VBG","Death (60d)",NA,NA,"Normal probability (95% CI)","0.09 (0.09, 0.10)","20260421_121048","2026-04-21 12:10:48.40139"
"Predicted probabilities","VBG","Death (60d)",NA,NA,"Low probability (95% CI)","0.14 (0.14, 0.15)","20260421_121048","2026-04-21 12:10:48.40139"
