"n_model","events","method","group","outcome","Low vs normal OR (95% CI)","High vs normal OR (95% CI)","Normal probability (95% CI)","Low probability (95% CI)","High probability (95% CI)","run_id","run_ts"
46653,12008,"Crude","ABG","IMV","1.36 (1.29, 1.43)","1.25 (1.19, 1.31)","0.23 (0.22, 0.24)","0.29 (0.28, 0.30)","0.27 (0.26, 0.28)","20260421_121048","2026-04-21 12:10:48.40139"
46653,4690,"Crude","ABG","NIV","1.06 (0.97, 1.15)","2.41 (2.25, 2.58)","0.07 (0.07, 0.08)","0.08 (0.07, 0.08)","0.16 (0.16, 0.17)","20260421_121048","2026-04-21 12:10:48.40139"
46653,8249,"Crude","ABG","Death (60d)","1.90 (1.79, 2.01)","1.44 (1.35, 1.52)","0.14 (0.13, 0.14)","0.23 (0.22, 0.24)","0.19 (0.18, 0.19)","20260421_121048","2026-04-21 12:10:48.40139"
46653,4990,"Crude","ABG","Hypercapnic RF","0.96 (0.87, 1.06)","5.87 (5.47, 6.32)","0.05 (0.05, 0.06)","0.05 (0.05, 0.05)","0.25 (0.24, 0.25)","20260421_121048","2026-04-21 12:10:48.40139"
46653,12008,"Adjusted","ABG","IMV","1.38 (1.31, 1.46)","1.31 (1.24, 1.37)","0.23 (0.22, 0.24)","0.29 (0.28, 0.30)","0.28 (0.27, 0.29)","20260421_121048","2026-04-21 12:10:48.40139"
46653,4690,"Adjusted","ABG","NIV","1.04 (0.95, 1.13)","2.62 (2.44, 2.81)","0.10 (0.09, 0.10)","0.10 (0.09, 0.11)","0.22 (0.21, 0.23)","20260421_121048","2026-04-21 12:10:48.40139"
46653,8249,"Adjusted","ABG","Death (60d)","1.98 (1.86, 2.10)","1.40 (1.32, 1.48)","0.13 (0.12, 0.14)","0.23 (0.22, 0.24)","0.17 (0.16, 0.18)","20260421_121048","2026-04-21 12:10:48.40139"
46653,4990,"Adjusted","ABG","Hypercapnic RF","0.95 (0.86, 1.05)","6.10 (5.67, 6.56)","0.05 (0.05, 0.06)","0.05 (0.04, 0.05)","0.25 (0.24, 0.26)","20260421_121048","2026-04-21 12:10:48.40139"
46653,12008,"Imputed","ABG","IMV","1.38 (1.31, 1.46)","1.31 (1.24, 1.37)","0.23 (0.22, 0.24)","0.29 (0.28, 0.30)","0.28 (0.27, 0.29)","20260421_121048","2026-04-21 12:10:48.40139"
46653,4690,"Imputed","ABG","NIV","1.04 (0.95, 1.13)","2.62 (2.44, 2.82)","0.10 (0.09, 0.10)","0.10 (0.09, 0.11)","0.22 (0.21, 0.23)","20260421_121048","2026-04-21 12:10:48.40139"
46653,8249,"Imputed","ABG","Death (60d)","1.98 (1.86, 2.10)","1.40 (1.32, 1.48)","0.13 (0.12, 0.14)","0.23 (0.22, 0.24)","0.17 (0.16, 0.18)","20260421_121048","2026-04-21 12:10:48.40139"
46653,4990,"Imputed","ABG","Hypercapnic RF","0.95 (0.86, 1.05)","6.10 (5.67, 6.56)","0.05 (0.05, 0.06)","0.05 (0.04, 0.05)","0.25 (0.24, 0.26)","20260421_121048","2026-04-21 12:10:48.40139"
46653,12008,"Weighted and adjusted","ABG","IMV","1.38 (1.30, 1.46)","1.33 (1.25, 1.41)","0.19 (0.18, 0.19)","0.24 (0.23, 0.25)","0.23 (0.23, 0.24)","20260421_121048","2026-04-21 12:10:48.40139"
46653,4690,"Weighted and adjusted","ABG","NIV","0.98 (0.89, 1.09)","2.62 (2.41, 2.85)","0.07 (0.06, 0.07)","0.07 (0.06, 0.07)","0.15 (0.14, 0.16)","20260421_121048","2026-04-21 12:10:48.40139"
46653,8249,"Weighted and adjusted","ABG","Death (60d)","1.90 (1.77, 2.03)","1.38 (1.28, 1.48)","0.11 (0.11, 0.12)","0.19 (0.18, 0.20)","0.15 (0.14, 0.16)","20260421_121048","2026-04-21 12:10:48.40139"
46653,4990,"Weighted and adjusted","ABG","Hypercapnic RF","0.95 (0.84, 1.07)","6.39 (5.86, 6.97)","0.04 (0.04, 0.05)","0.04 (0.04, 0.05)","0.22 (0.21, 0.23)","20260421_121048","2026-04-21 12:10:48.40139"
46653,12008,"GBM-weighted","ABG","IMV","1.41 (1.33, 1.49)","1.30 (1.23, 1.38)","0.22 (0.21, 0.23)","0.28 (0.27, 0.30)","0.27 (0.26, 0.28)","20260421_121048","2026-04-21 12:10:48.40139"
46653,4690,"GBM-weighted","ABG","NIV","1.04 (0.95, 1.15)","2.69 (2.48, 2.92)","0.09 (0.08, 0.10)","0.09 (0.09, 0.10)","0.21 (0.20, 0.22)","20260421_121048","2026-04-21 12:10:48.40139"
46653,8249,"GBM-weighted","ABG","Death (60d)","1.99 (1.86, 2.12)","1.43 (1.34, 1.53)","0.11 (0.10, 0.12)","0.20 (0.19, 0.21)","0.15 (0.14, 0.16)","20260421_121048","2026-04-21 12:10:48.40139"
46653,4990,"GBM-weighted","ABG","Hypercapnic RF","0.99 (0.89, 1.11)","6.68 (6.15, 7.25)","0.04 (0.04, 0.05)","0.04 (0.04, 0.05)","0.23 (0.22, 0.24)","20260421_121048","2026-04-21 12:10:48.40139"
