"term","estimate","SE","LCL","UCL","m_used","m_total","outcome","group","run_id","run_ts"
"(Intercept)",-1.94731800192651,0.21409356841107,-2.36694139601221,-1.52769460784081,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)1",-0.601780067549594,0.203420250117486,-1.00048375777987,-0.203076377319321,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)2",1.12397084999329,0.1688139703025,0.793095468200391,1.45484623178619,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)3",1.06166729485013,0.462360505917864,0.155440703251116,1.96789388644914,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)4",0.689276807262726,0.343075670016318,0.0168484940307418,1.36170512049471,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"age_at_encounter",-0.00261731915427181,0.000754479452149303,-0.00409609888048445,-0.00113853942805918,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"sexMale",0.3664971897972,0.0258350892106749,0.315860414944277,0.417133964650123,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity1",0.222231936077681,0.036379137782719,0.150928826023551,0.29353504613181,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity2",0.293406077932084,0.0569603829039837,0.181763727440276,0.405048428423892,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity3",0.0185363224501077,0.0863853086796709,-0.150778882562047,0.187851527462263,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity4",-0.753898621193669,0.116714773107281,-0.98265957648394,-0.525137665903397,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity5",-0.643730766684754,0.369475447781592,-1.36790264433667,0.0804411109671667,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity6",-0.281294913493308,0.044134797332722,-0.367799116265443,-0.194790710721173,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"location1",0.19437631539944,0.0318711236714658,0.131908913003367,0.256843717795513,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"location2",0.341286371134831,0.0433221632432611,0.256374931178039,0.426197811091623,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"location3",0.776018362795931,0.0387287852179225,0.700109943768803,0.851926781823059,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"encounter_typeInpatient",0.900861283023402,0.0370636106647119,0.828216606120567,0.973505959926238,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"(Intercept)",-5.04411332917541,0.39107461516868,-5.81061957490603,-4.2776070834448,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)1",0.341067647978514,0.373209907991134,-0.390423771684109,1.07255906764114,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)2",6.2617736736029,0.321324114043122,5.63197841007838,6.89156893712742,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)3",-1.83011953684153,0.953686991906835,-3.69934604097893,0.039106967295863,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)4",-11.5899441438398,1.44773801380306,-14.4275106508938,-8.75237763678581,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"age_at_encounter",0.0216013232056036,0.00121704285797255,0.0192159192039774,0.0239867272072298,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"sexMale",0.0711705556833239,0.0381015363852086,-0.00350845563168507,0.145849566998333,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity1",0.0944780833689718,0.0540604279795654,-0.0114803554709763,0.20043652220892,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity2",-0.113805718622803,0.094321202102254,-0.298675274743221,0.0710638374976147,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity3",-0.605577202539023,0.150467573707254,-0.900493647005241,-0.310660758072806,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity4",-0.838484873085355,0.199320005310625,-1.22915208349418,-0.447817662676529,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity5",-0.23826680609734,0.417136573193458,-1.05585448955652,0.579320877361838,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity6",-0.90759573781675,0.0783997457087224,-1.06125923940585,-0.753932236227654,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"location1",-1.52278099117687,0.0774749754556927,-1.67463194307003,-1.37093003928372,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"location2",-0.0428295762645798,0.0622026032462156,-0.164746678627162,0.0790875260980027,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"location3",0.974047999912245,0.050267567232995,0.875523568135575,1.07257243168892,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"encounter_typeInpatient",0.738491104491599,0.0508579715611727,0.6388094802317,0.838172728751497,20,20,"niv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"(Intercept)",-3.27581474959827,0.223216689551349,-3.71331946111892,-2.83831003807763,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)1",-1.8566584528473,0.206854396962876,-2.26209307089454,-1.45122383480006,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)2",0.900176238944821,0.203263315272523,0.501780141010676,1.29857233687897,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)3",-2.00060859559074,0.50568987053172,-2.99176074183292,-1.00945644934857,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)4",-3.31764024373641,0.610503423494735,-4.51422695378609,-2.12105353368673,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"age_at_encounter",0.0358757730990538,0.00106597806934923,0.0337864560831293,0.0379650901149783,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"sexMale",0.157272955672546,0.0297124416215636,0.099036570094281,0.21550934125081,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity1",0.141738893481209,0.0443789692002593,0.0547561138487003,0.228721673113717,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity2",0.0864731855722585,0.0709602568055658,-0.0526089177666506,0.225555288911168,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity3",-0.206476661374037,0.110483001538988,-0.423023344390453,0.0100700216423787,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity4",-0.0745877476509248,0.139443603405379,-0.347897210325467,0.198721715023618,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity5",-0.872138456659537,0.480021411714759,-1.81298042362047,0.0687035103013913,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity6",-0.153436483469657,0.0501867514624086,-0.251802516335977,-0.0550704506033356,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"location1",0.453457923452247,0.0374399676536314,0.38007558685113,0.526840260053365,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"location2",0.359408234197437,0.0495174611726999,0.262354010298945,0.456462458095929,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"location3",0.300241093492565,0.046715159188443,0.208679381483217,0.391802805501913,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"encounter_typeInpatient",0.415849413949461,0.0441851636164573,0.329246493261205,0.502452334637717,20,20,"death_60d","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"(Intercept)",-4.42513164768345,0.392612733383129,-5.19465260511438,-3.65561069025251,20,20,"hypercap_resp_failure","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)1",-0.27867879598583,0.374303504133074,-1.01231366408665,0.454956072114996,20,20,"hypercap_resp_failure","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)2",10.2811092246628,0.325214975691197,9.64368787230808,10.9185305770176,20,20,"hypercap_resp_failure","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)3",-6.90092186748825,0.980886529154405,-8.82345946463088,-4.97838427034561,20,20,"hypercap_resp_failure","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"splines::ns(paco2, 4)4",-23.0037752592359,1.58019009089424,-26.1009478373886,-19.9066026810832,20,20,"hypercap_resp_failure","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"age_at_encounter",0.0102379439966739,0.00124834083777119,0.00779119595464235,0.0126846920387054,20,20,"hypercap_resp_failure","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"sexMale",-0.0470057322680024,0.0389235716025274,-0.123295932608956,0.0292844680729514,20,20,"hypercap_resp_failure","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity1",0.283362573569189,0.0573584917832881,0.170939929673944,0.395785217464434,20,20,"hypercap_resp_failure","ABG","20260421_121048","2026-04-21 12:10:48.40139"
"race_ethnicity2",-0.211541429377911,0.100189882112951,-0.407913598319295,-0.0151692604365271,20,20,"hypercap_resp_failure","ABG","20260421_121048","2026-04-21 12:10:48.40139"
