"term","logOR","estimate","SE","LCL","UCL","outcome","group","OR","method","run_id","run_ts"
"co2_catLow",0.322440512580158,1.38049276646413,0.0301193155350937,1.30135581308305,1.46444212958547,"IMV","ABG",1.38049276646413,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catHigh",0.286365236494997,1.33157870758831,0.0304886533408629,1.25433741369096,1.41357647085172,"IMV","ABG",1.33157870758831,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catLow",-0.0157923306772637,0.984331714331803,0.0505458543065233,0.89148897806217,1.08684341330333,"NIV","ABG",0.984331714331803,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catHigh",0.963209231926257,2.62009147667842,0.0433757432316459,2.40654660336144,2.8525852508213,"NIV","ABG",2.62009147667842,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catLow",0.639740680555798,1.8959891486978,0.0347705191744278,1.77108165237302,2.02970588462891,"Death60d","ABG",1.8959891486978,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catHigh",0.31902604382473,1.37578715519899,0.0359519190506511,1.2821781129231,1.47623039056203,"Death60d","ABG",1.37578715519899,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catLow",-0.0528916192813837,0.94848280415979,0.0594042901892126,0.844235303140442,1.06560295031534,"HCRF","ABG",0.94848280415979,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catHigh",1.85424785522354,6.38689257567722,0.0442855349737177,5.85589125518367,6.96604410765503,"HCRF","ABG",6.38689257567722,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catLow",0.330299906245209,1.3913853510531,0.0439871827476405,1.27645286018553,1.51666642420604,"IMV","VBG",1.3913853510531,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catHigh",0.444191847805131,1.55922959170444,0.0430454342091345,1.4330754464399,1.69648913159908,"IMV","VBG",1.55922959170444,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catLow",-0.0346050153267649,0.965986890930746,0.0694170272778045,0.843106167520157,1.1067771882095,"NIV","VBG",0.965986890930746,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catHigh",1.04814445726407,2.85235354074974,0.0577019602240822,2.54733729410417,3.19389220275548,"NIV","VBG",2.85235354074974,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catLow",0.554060281586204,1.74030481964259,0.0465807979769566,1.58845511411,1.90667072576878,"Death60d","VBG",1.74030481964259,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catHigh",0.311935798369688,1.36606698648641,0.046684023049501,1.24661903298484,1.49696014755998,"Death60d","VBG",1.36606698648641,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catLow",-0.130006430946556,0.878089783953932,0.083136785970673,0.746056062014088,1.03349025353768,"HCRF","VBG",0.878089783953932,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
"co2_catHigh",2.09561314473339,8.1304245692276,0.0598757406010262,7.23012766112647,9.14282662411532,"HCRF","VBG",8.1304245692276,"IPW + MI adjusted","20260421_121048","2026-04-21 12:10:48.40139"
