"artifact","analysis_family","old_probability_method","new_probability_method","manuscript_facing","updated","run_id","run_ts"
"Figure 2","primary_mi_ipw_spline","conditional_modality_specific_xref","common_source_marginal_standardized",TRUE,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
"Table 2","primary_mi_ipw_cat3","conditional_modality_specific_xref","common_source_marginal_standardized",TRUE,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
"Figure S4","primary_mi_ipw_cat3","conditional_modality_specific_xref","common_source_marginal_standardized",TRUE,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
"cat3_key_results_long.csv","primary_mi_ipw_cat3","conditional_modality_specific_xref","common_source_marginal_standardized",TRUE,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
"table_summary_key_results_cat3.csv","primary_mi_ipw_cat3","conditional_modality_specific_xref","common_source_marginal_standardized",TRUE,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
"mi_spline_prob_curve_abg.csv","primary_mi_ipw_spline","conditional_modality_specific_xref","common_source_marginal_standardized",TRUE,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
"mi_spline_prob_curve_vbg.csv","primary_mi_ipw_spline","conditional_modality_specific_xref","common_source_marginal_standardized",TRUE,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
"mi_cat3_prob_curve_abg.csv","primary_mi_ipw_cat3","conditional_modality_specific_xref","common_source_marginal_standardized",TRUE,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
"mi_cat3_prob_curve_vbg.csv","primary_mi_ipw_cat3","conditional_modality_specific_xref","common_source_marginal_standardized",TRUE,TRUE,"20260421_121048","2026-04-21 12:10:48.40139"
"discordance_current_summary.csv","discordance_diagnostic","conditional_modality_specific_xref","conditional_modality_specific_xref",FALSE,FALSE,"20260421_121048","2026-04-21 12:10:48.40139"
"probability_method_comparison_summary.csv","standardization_diagnostic","conditional_vs_common_vs_marginal","conditional_vs_common_vs_marginal",FALSE,FALSE,"20260421_121048","2026-04-21 12:10:48.40139"
