"category","co2_cat","eta","SE_eta","var_eta","p","p_LCL","p_UCL","m_used","m_total","outcome","group","probability_method","run_id","run_ts"
"Normal","Normal",-1.34402377970898,0.0265975749364822,0.000707430992501788,0.206849128209221,0.198426959638989,0.215532652268988,20,20,"IMV","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
"Low","Low",-1.02158326712882,0.0294584577681045,0.000867800734075196,0.264719114044436,0.253634372773663,0.276109084620563,20,20,"IMV","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
"High","High",-1.05765854321398,0.0296904722157886,0.000881524140396513,0.257757164337392,0.246781529713636,0.269046578948956,20,20,"IMV","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
"Normal","Normal",-2.34503781089363,0.0420459633370432,0.00176786303293998,0.0874610026862988,0.081103461080922,0.0942657753446673,20,20,"NIV","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
"Low","Low",-2.36083014157089,0.049247147853722,0.00242528157172636,0.0862087761124891,0.078902385857542,0.0941226048799291,20,20,"NIV","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
"High","High",-1.38182857896737,0.0384910717198327,0.00148156260214131,0.200715482512028,0.18888506136116,0.213092212326243,20,20,"NIV","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
"Normal","Normal",-2.0671530141329,0.0332342328188623,0.00110451423105834,0.112330605304515,0.105997590232821,0.118991635676402,20,20,"Death60d","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
"Low","Low",-1.4274123335771,0.0347512779146281,0.00120765131669972,0.193502192857778,0.183093927115233,0.204354122004362,20,20,"Death60d","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
"High","High",-1.74812697030817,0.0354129732487748,0.00125407867431844,0.148283597585212,0.139729748349284,0.157265362053759,20,20,"Death60d","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
"Normal","Normal",-3.0990085582311,0.0477692426929339,0.00228190054745642,0.0431481694721741,0.0394437751379929,0.0471833758064831,20,20,"HCRF","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
"Low","Low",-3.15190017751249,0.0584996185344441,0.00342220536867548,0.0410164711692124,0.0367363852541468,0.0457715265865827,20,20,"HCRF","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
"High","High",-1.24476070300756,0.0378415835027946,0.00143198544199897,0.223608403715897,0.210996334271745,0.236748138838194,20,20,"HCRF","ABG","conditional_modality_specific_xref","20260421_121048","2026-04-21 12:10:48.40139"
