"group","outcome","category","co2_cat","probability_method","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","run_id","run_ts"
"ABG","death_60d","High","High","common_source_marginal_standardized",-1.74171017151897,0.000637045259903731,0.000118238072949493,0.149100842958863,20,20,128521,5000,5000,0.000761195236500699,0.0275897668801442,0.149095841220708,0.142364792947232,0.156087215523456,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","death_60d","Low","Low","common_source_marginal_standardized",-1.43914030624786,0.000562530708273864,0.00014182092231708,0.191684949613588,20,20,128521,5000,5000,0.000711442676706798,0.0266728827970806,0.191678512367033,0.183708815333905,0.19990928026113,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","death_60d","Normal","Normal","common_source_marginal_standardized",-2.04608622794483,0.000527760810855053,9.5975656909332e-05,0.11445200398122,20,20,128521,5000,5000,0.000628535250609852,0.025070605310001,0.114448443919605,0.109561830549459,0.119523751718567,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","hypercap_resp_failure","High","High","common_source_marginal_standardized",-1.2471004196192,0.000557957976401345,9.95269741290068e-05,0.223207011207097,20,20,128521,5000,5000,0.000662461299236802,0.0257383235514049,0.223202473621462,0.214578052337331,0.232071109809976,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","hypercap_resp_failure","Low","Low","common_source_marginal_standardized",-3.10810775126208,0.0021405286704256,0.000134462854021585,0.0427764488516599,20,20,128521,5000,5000,0.00228171466714826,0.0477672970467061,0.0427740542757931,0.0391006095902888,0.0467758137709812,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","hypercap_resp_failure","Normal","Normal","common_source_marginal_standardized",-3.05578102340245,0.00127067917283856,8.19247111067709e-05,0.0449700635729752,20,20,128521,5000,5000,0.00135670011950067,0.0368334103702151,0.0449685453587193,0.0419679698242149,0.0481728651200466,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","imv_proc","High","High","common_source_marginal_standardized",-1.18873135770754,0.000499367388153667,4.21506736356017e-05,0.233487817933268,20,20,128521,5000,5000,0.000543625595471049,0.023315779967032,0.233485908213259,0.225406962749467,0.24176403852107,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","imv_proc","Low","Low","common_source_marginal_standardized",-1.15420914401619,0.000489688536759313,4.35642622705832e-05,0.239723069165975,20,20,128521,5000,5000,0.000535431012143426,0.0231393822766172,0.2397211057162,0.231553084127718,0.248084235474083,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","imv_proc","Normal","Normal","common_source_marginal_standardized",-1.46370421625708,0.000358926914163236,3.77865527226818e-05,0.187903138216406,20,20,128521,5000,5000,0.000398602794522052,0.0199650393067996,0.187901428678731,0.182002971022186,0.193945723101158,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","niv_proc","High","High","common_source_marginal_standardized",-1.71553136176921,0.000706973598366625,0.000187352017815531,0.152455641556032,20,20,128521,5000,5000,0.000903693217072933,0.0300614905996515,0.152447648328559,0.144989566968906,0.16021747610755,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","niv_proc","Low","Low","common_source_marginal_standardized",-2.63410925849204,0.00142649738550925,0.000163920901435208,0.0669794265930026,20,20,128521,5000,5000,0.00159861433201622,0.03998267539843,0.0669752075805234,0.0622412181475013,0.0720415972951553,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
"ABG","niv_proc","Normal","Normal","common_source_marginal_standardized",-2.61899229370415,0.00092183236874254,0.000138335028517627,0.0679296609780283,20,20,128521,5000,5000,0.00106708414868605,0.0326662539738803,0.0679260658222274,0.063982884062904,0.072093543470617,TRUE,18,"20260421_121048","2026-04-21 12:10:48.40139"
