"group","outcome","co2_scale","co2_value","vbg_co2","probability_method","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","co2_ref","run_id","run_ts"
"VBG","death_60d","vbg_co2",25,25,"common_source_marginal_standardized",-1.48568052752556,0.00312177056267109,0.000145331841851677,0.184577495131469,20,20,128521,5000,5000,0.00327436899661535,0.0572221023435469,0.184570941949009,0.168284302313655,0.202050893255029,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","death_60d","vbg_co2",25.286432160804,25.286432160804,"common_source_marginal_standardized",-1.49076457956208,0.00291972916051291,0.000138117083300188,0.183813219099985,20,20,128521,5000,5000,0.00306475209797811,0.0553602031966837,0.183806995945247,0.16808358636591,0.200646506641769,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","death_60d","vbg_co2",25.572864321608,25.572864321608,"common_source_marginal_standardized",-1.49606068258166,0.00273349556416602,0.000131669871670984,0.183019722065869,20,20,128521,5000,5000,0.00287174892942056,0.0535887015089987,0.183013794204092,0.167828693736982,0.199243880263922,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","death_60d","vbg_co2",25.8592964824121,25.8592964824121,"common_source_marginal_standardized",-1.501572974767,0.00256236971214984,0.000125956322348546,0.182196703104978,20,20,128521,5000,5000,0.00269462385061581,0.0519097664280606,0.182191037383569,0.167518651936315,0.197843115831472,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","death_60d","vbg_co2",26.1457286432161,26.1457286432161,"common_source_marginal_standardized",-1.50730560686759,0.00240565017469826,0.000120942469733781,0.181343880543751,20,20,128521,5000,5000,0.00253263976791873,0.0503253392230865,0.181338445399428,0.167152598987479,0.196444241899511,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","death_60d","vbg_co2",26.4321608040201,26.4321608040201,"common_source_marginal_standardized",-1.51326274263224,0.00226263509134327,0.000116594310542317,0.180460992680353,20,20,128521,5000,5000,0.0023850591174127,0.0488370670435142,0.180455758144312,0.166729803786321,0.195047195348938,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","death_60d","vbg_co2",26.7185929648241,26.7185929648241,"common_source_marginal_standardized",-1.51944855924327,0.0021326231251128,0.000112877847859776,0.179547798514071,20,20,128521,5000,5000,0.00225114486536557,0.0474462313083512,0.179542736215091,0.166249687444523,0.193651801909137,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","death_60d","vbg_co2",27.0050251256281,27.0050251256281,"common_source_marginal_standardized",-1.52586724775179,0.00201491443404564,0.000109759135986828,0.178604078482109,20,20,128521,5000,5000,0.00213016152683181,0.0461536729506094,0.178599161647538,0.165711844869081,0.192257756471183,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","death_60d","vbg_co2",27.2914572864322,27.2914572864322,"common_source_marginal_standardized",-1.53252301351314,0.00190881166077204,0.000107204326108793,0.177629635202854,20,20,128521,5000,5000,0.00202137620318627,0.0449597175612377,0.177624838657386,0.165116065606575,0.190864604161519,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","death_60d","vbg_co2",27.5778894472362,27.5778894472362,"common_source_marginal_standardized",-1.53942007662193,0.00181362094095774,0.000105179712827135,0.176624294224571,20,20,128521,5000,5000,0.00192405963942624,0.0438641042245962,0.176619594386745,0.164462352792965,0.189471723334035,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
