"category","co2_cat","eta","SE_eta","var_eta","p","p_LCL","p_UCL","m_used","m_total","outcome","group","probability_method","run_id","run_ts"
"Normal","Normal",-1.6312554295633,0.0402216985257118,0.00161778503229324,0.163658452534626,0.153152048076074,0.174736889914761,20,20,"IMV","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
"Low","Low",-1.30095552331809,0.0442694123676896,0.00195978087138055,0.214004247869512,0.199771424373491,0.228960964249402,20,20,"IMV","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
"High","High",-1.18706358175817,0.0430270545128197,0.00185132742004916,0.233784523134189,0.21901826946677,0.249228620355987,20,20,"IMV","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
"Normal","Normal",-3.8157429231646,0.0752503224423656,0.00566261102767999,0.0215468573566868,0.0186472452367111,0.0248859199129919,20,20,"NIV","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
"Low","Low",-3.85034793849137,0.0854807425039168,0.00730695733902093,0.020829246994398,0.0176729305888551,0.024535189733611,20,20,"NIV","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
"High","High",-2.76759846590054,0.0692569240551688,0.00479652152958342,0.0591004155928325,0.0519886013145941,0.0671162193044206,20,20,"NIV","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
"Normal","Normal",-1.93934907817068,0.0430637024546629,0.00185448246910374,0.125719384522173,0.116731383559286,0.135293433199586,20,20,"Death60d","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
"Low","Low",-1.38528879658448,0.0457665426103471,0.00209457642250472,0.200160938862428,0.186185158230328,0.21490876021869,20,20,"Death60d","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
"High","High",-1.627413279801,0.045914344034053,0.00210812698807738,0.164185024164981,0.152205667231207,0.176910474194276,20,20,"Death60d","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
"Normal","Normal",-3.28919415343891,0.0669670816660284,0.00448459002686452,0.0359437594811411,0.0316624397440619,0.0407796094454267,20,20,"HCRF","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
"Low","Low",-3.41920058438547,0.0827602355352492,0.00684925658584993,0.0317007579124307,0.0270825231979042,0.037076503602971,20,20,"HCRF","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
"High","High",-1.19358100870552,0.0491957609201268,0.00242022289251028,0.232619087081175,0.215852015281371,0.25027290635072,20,20,"HCRF","VBG","conditional_modality_specific_xref","20260423_111150","2026-04-23 11:11:50.486947"
