"group","outcome","category","co2_cat","probability_method","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","run_id","run_ts"
"ABG","death_60d","High","High","common_source_marginal_standardized",-1.66886674915708,0.013917640802565,0.00202379892061633,0.158662924431518,20,20,5175,1000,1000,0.0160426296692121,0.126659502877645,0.158575329092435,0.128183137937123,0.194565326451556,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","death_60d","Low","Low","common_source_marginal_standardized",-1.6385228243184,0.017707902561517,0.00215842465385502,0.162760330767356,20,20,5175,1000,1000,0.0199742484480647,0.141330281426398,0.162666162352391,0.128360839406849,0.203994108654427,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","death_60d","Normal","Normal","common_source_marginal_standardized",-2.0467420252566,0.0128426788333705,0.00130539750571478,0.114430352925036,20,20,5175,1000,1000,0.014213346214371,0.119219739197714,0.11438199566703,0.0927582156848569,0.140267336491018,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","hypercap_resp_failure","High","High","common_source_marginal_standardized",-1.19217227666525,0.012705512115327,0.00195721858251074,0.23295932625252,20,20,5175,1000,1000,0.0147605916269633,0.121493175227925,0.232870650956237,0.19305211640594,0.278071936713487,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","hypercap_resp_failure","Low","Low","common_source_marginal_standardized",-3.13145008243869,0.0453971562258249,0.00178676449592899,0.0418596276006473,20,20,5175,1000,1000,0.0472732589465503,0.217424145270369,0.0418284508200097,0.0277169882455397,0.0626614115847466,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","hypercap_resp_failure","Normal","Normal","common_source_marginal_standardized",-3.36113654248025,0.0405857750215056,0.00228181671568604,0.0335655159861093,20,20,5175,1000,1000,0.042981682572976,0.207320241590097,0.0335323707348567,0.022588116006322,0.0495106636625004,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","imv_proc","High","High","common_source_marginal_standardized",-1.31331207652877,0.0121340074225341,0.000791191658559384,0.211969297255973,20,20,5175,1000,1000,0.0129647586640215,0.113862894149154,0.211933141649107,0.177047073986569,0.251591765009615,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","imv_proc","Low","Low","common_source_marginal_standardized",-1.20466413190851,0.0115797261428234,0.000719805048410625,0.23067922614734,20,20,5175,1000,1000,0.0123355214436546,0.1110653926462,0.230646532738845,0.194293081774435,0.271509795339371,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","imv_proc","Normal","Normal","common_source_marginal_standardized",-1.53602369958295,0.0101761497181815,0.000928871411038353,0.177155543840412,20,20,5175,1000,1000,0.0111514646997718,0.105600495736392,0.177114055504431,0.148932194463452,0.209317091306769,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","niv_proc","High","High","common_source_marginal_standardized",-1.71847725775266,0.0169693794724538,0.00107771477495603,0.152113259748787,20,20,5175,1000,1000,0.0181009799861576,0.134539882511312,0.152067406464105,0.12108712703994,0.189267149170851,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","niv_proc","Low","Low","common_source_marginal_standardized",-2.71683108327401,0.0365453578400516,0.00172910625478522,0.0620292658607324,20,20,5175,1000,1000,0.038360919407576,0.195859437882314,0.0619874674419306,0.0430777475533896,0.0884308483485255,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","niv_proc","Normal","Normal","common_source_marginal_standardized",-2.75616765919867,0.0230186542659631,0.00146075043881915,0.0597735996715138,20,20,5175,1000,1000,0.0245524422267232,0.156692189424755,0.0597392675762578,0.0446474026267332,0.0795079777697583,TRUE,18,"20260423_104307","2026-04-23 10:43:07.487173"
