"group","outcome","co2_scale","co2_value","paco2","probability_method","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","co2_ref","run_id","run_ts"
"ABG","death_60d","paco2",23,23,"common_source_marginal_standardized",-1.22754616692608,0.0363537386807084,0.00208049530389324,0.226705774998526,20,20,5175,1000,1000,0.0385382587497963,0.196311636817068,0.226611192456473,0.166267180511525,0.300950583523656,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",23.3115577889447,23.3115577889447,"common_source_marginal_standardized",-1.24667194673399,0.034361059810008,0.00207054530245309,0.223371074169933,20,20,5175,1000,1000,0.0365351323775838,0.191141655265365,0.223276772401875,0.165024340757643,0.294831182366252,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",23.6231155778894,23.6231155778894,"common_source_marginal_standardized",-1.26573103683834,0.0325651587271359,0.00206416340235246,0.220083045562237,20,20,5175,1000,1000,0.034732530299606,0.186366655546549,0.219988903943094,0.163692091895972,0.288957539559439,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",23.9346733668342,23.9346733668342,"common_source_marginal_standardized",-1.28472139423281,0.0309534564332984,0.00206094887689154,0.216841695764534,20,20,5175,1000,1000,0.0331174527540345,0.181982012171628,0.21674760964547,0.162273819936684,0.283323205287717,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",24.2462311557789,24.2462311557789,"common_source_marginal_standardized",-1.30364096330527,0.0295133622102062,0.00206050291320262,0.213647005495815,20,20,5175,1000,1000,0.031676890269069,0.177980027725217,0.213552886524717,0.160773806882783,0.277920506642634,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",24.5577889447236,24.5577889447236,"common_source_marginal_standardized",-1.3224876763237,0.0282323048692135,0.00206242965458866,0.210498930392057,20,20,5175,1000,1000,0.0303978560065316,0.174349809310282,0.210404706708481,0.159197221661663,0.27274060243886,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",24.8693467336683,24.8693467336683,"common_source_marginal_standardized",-1.34125945392591,0.027097765264299,0.00206633728102914,0.207397401812,20,20,5175,1000,1000,0.0292674194093796,0.171077232294013,0.207303018118713,0.157550081741741,0.267773566621275,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",25.1809045226131,25.1809045226131,"common_source_marginal_standardized",-1.35995420561209,0.0260973100598005,0.00207183912765564,0.204342327659147,20,20,5175,1000,1000,0.028272741143839,0.168145000353382,0.204247745172801,0.155839184879331,0.263008500564709,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",25.4924623115578,25.4924623115578,"common_source_marginal_standardized",-1.37856983023939,0.0252186267419232,0.00207855484095163,0.201333593217594,20,20,5175,1000,1000,0.0274011093249224,0.165532804377025,0.2012387895015,0.154072012663393,0.258433672385831,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",25.8040201005025,25.8040201005025,"common_source_marginal_standardized",-1.39710421651746,0.0244495598612523,0.00208611157238712,0.198371061999321,20,20,5175,1000,1000,0.0266399770122588,0.163217575684296,0.198276030681646,0.152256609732034,0.254036679218601,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",26.1155778894472,26.1155778894472,"common_source_marginal_standardized",-1.41555524350422,0.0237781484918115,0.00209414520915499,0.195454576600663,20,20,5175,1000,1000,0.0259770009614242,0.161173822196485,0.195359326981719,0.150401444424241,0.24980462655077,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",26.427135678392,26.427135678392,"common_source_marginal_standardized",-1.43392078110084,0.0231926648906333,0.00210230164163662,0.192583959565741,20,20,5175,1000,1000,0.0254000816143517,0.15937403055188,0.192488516118325,0.148515257943574,0.245724317438432,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",26.7386934673367,26.7386934673367,"common_source_marginal_standardized",-1.45219869054532,0.022681654340346,0.0021102380671868,0.189759014254709,20,20,5175,1000,1000,0.0248974043108921,0.157789113410565,0.189663416021711,0.14660690968275,0.241782443873183,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",27.0502512562814,27.0502512562814,"common_source_marginal_standardized",-1.47038682490361,0.022233976155937,0.00211762432979316,0.186979525714747,20,20,5175,1000,1000,0.0244574817022198,0.156388879726852,0.186883825608473,0.144685226150263,0.23796577281076,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","death_60d","paco2",27.3618090452261,27.3618090452261,"common_source_marginal_standardized",-1.4884830295578,0.0218388458356217,0.00212414429513364,0.184245261551841,20,20,5175,1000,1000,0.024069197345512,0.155142506572222,0.184149525559666,0.142758860038615,0.234261320294931,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
