"outcome","outcome_label","level","probability_method","abg_target","vbg_target","abg_probability","vbg_probability","absolute_gap","relative_gap","run_id","run_ts"
"death_60d","Death (60d)","High","Common reference profile",45,50,0.0835960638304907,0.0764940559086944,0.00710200792179631,0.0928439188827101,"20260424_063653","2026-04-24 06:36:53.744157"
"death_60d","Death (60d)","High","Common-source marginal standardized",45,50,0.119499395719387,0.100667132851183,0.0188322628682039,0.187074592618465,"20260424_063653","2026-04-24 06:36:53.744157"
"death_60d","Death (60d)","High","Conditional modality-specific X_ref",45,50,0.109711903089011,0.118362187598266,-0.0086502845092541,-0.0730831753347964,"20260424_063653","2026-04-24 06:36:53.744157"
"death_60d","Death (60d)","Low","Common reference profile",35,40,0.0915628029050408,0.0965098546494508,-0.00494705174440999,-0.0512595502540023,"20260424_063653","2026-04-24 06:36:53.744157"
"death_60d","Death (60d)","Low","Common-source marginal standardized",35,40,0.129634672367896,0.123535055376676,0.00609961699121955,0.0493755960413094,"20260424_063653","2026-04-24 06:36:53.744157"
"death_60d","Death (60d)","Low","Conditional modality-specific X_ref",35,40,0.119842014874391,0.147582649771773,-0.0277406348973821,-0.187966776177831,"20260424_063653","2026-04-24 06:36:53.744157"
"death_60d","Death (60d)","Normal","Common reference profile",40,45,0.0786210608956139,0.074595244111773,0.00402581678384098,0.0539688130493779,"20260424_063653","2026-04-24 06:36:53.744157"
"death_60d","Death (60d)","Normal","Common-source marginal standardized",40,45,0.113081342873564,0.0984364031423628,0.0146449397312013,0.148775648679698,"20260424_063653","2026-04-24 06:36:53.744157"
"death_60d","Death (60d)","Normal","Conditional modality-specific X_ref",40,45,0.10335797832004,0.115554125231968,-0.0121961469119277,-0.105544885459041,"20260424_063653","2026-04-24 06:36:53.744157"
"hypercap_resp_failure","Hypercapnic RF","High","Common reference profile",45,50,0.0767465467558483,0.0977110769051227,-0.0209645301492744,-0.214556330902288,"20260424_063653","2026-04-24 06:36:53.744157"
"hypercap_resp_failure","Hypercapnic RF","High","Common-source marginal standardized",45,50,0.070525071418472,0.0728991742224472,-0.00237410280397522,-0.0325669368589938,"20260424_063653","2026-04-24 06:36:53.744157"
"hypercap_resp_failure","Hypercapnic RF","High","Conditional modality-specific X_ref",45,50,0.0707524728419623,0.0734637312211253,-0.00271125837916299,-0.0369060805120573,"20260424_063653","2026-04-24 06:36:53.744157"
"hypercap_resp_failure","Hypercapnic RF","Low","Common reference profile",35,40,0.039194907493046,0.046165490649155,-0.00697058315610904,-0.150991207026988,"20260424_063653","2026-04-24 06:36:53.744157"
"hypercap_resp_failure","Hypercapnic RF","Low","Common-source marginal standardized",35,40,0.0361325375203963,0.034581362560456,0.00155117495994032,0.0448558080159079,"20260424_063653","2026-04-24 06:36:53.744157"
