"step_name","seconds","start_time","end_time","notes","run_id","run_mode","n_subset","run_ts"
"mice_batch_1",18.8681969642639,"2026-02-04 19:17:18.873787","2026-02-04 19:17:37.741984","batch=1; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_2",18.680967092514,"2026-02-04 19:17:38.960352","2026-02-04 19:17:57.641319","batch=2; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_3",18.6030561923981,"2026-02-04 19:17:59.081858","2026-02-04 19:18:17.684914","batch=3; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_4",18.6409511566162,"2026-02-04 19:18:19.108888","2026-02-04 19:18:37.749839","batch=4; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_5",18.5770239830017,"2026-02-04 19:18:39.172112","2026-02-04 19:18:57.749136","batch=5; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_6",18.7630209922791,"2026-02-04 19:18:59.171111","2026-02-04 19:19:17.934132","batch=6; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_7",18.5544970035553,"2026-02-04 19:19:19.361782","2026-02-04 19:19:37.916279","batch=7; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_8",18.5746018886566,"2026-02-04 19:19:39.334927","2026-02-04 19:19:57.909529","batch=8; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_9",18.5380802154541,"2026-02-04 19:19:59.32506","2026-02-04 19:20:17.86314","batch=9; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_10",18.5221788883209,"2026-02-04 19:20:19.278623","2026-02-04 19:20:37.800802","batch=10; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_11",18.5018219947815,"2026-02-04 19:20:39.21859","2026-02-04 19:20:57.720412","batch=11; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_12",18.5090208053589,"2026-02-04 19:20:59.135404","2026-02-04 19:21:17.644425","batch=12; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
"mice_batch_13",18.5097270011902,"2026-02-04 19:21:19.057905","2026-02-04 19:21:37.567632","batch=13; m=2; maxit=20","20260204_191353","pilot",25852,"2026-02-04 19:13:53.507587"
