"step_name","seconds","start_time","end_time","notes","run_id","run_mode","n_subset","run_ts"
"mi_single_pass",178.156713008881,"2026-04-09 13:36:30.19863","2026-04-09 13:39:28.355343","m=20","20260409_132423","pilot",5175,"2026-04-09 13:24:23.302076"
"mice_batch_1",7.99537491798401,"2026-04-09 13:32:02.297326","2026-04-09 13:32:10.292701","batch=1; m=2; maxit=5","20260409_132423","pilot",5175,"2026-04-09 13:24:23.302076"
"mice_batch_9",6.68649196624756,"2026-04-09 13:33:41.247006","2026-04-09 13:33:47.933498","batch=9; m=2; maxit=5","20260409_132423","pilot",5175,"2026-04-09 13:24:23.302076"
"mice_batch_10",6.2924919128418,"2026-04-09 13:33:55.288129","2026-04-09 13:34:01.580621","batch=10; m=2; maxit=5","20260409_132423","pilot",5175,"2026-04-09 13:24:23.302076"
"mice_batch_6",6.21316909790039,"2026-04-09 13:33:05.129974","2026-04-09 13:33:11.343143","batch=6; m=2; maxit=5","20260409_132423","pilot",5175,"2026-04-09 13:24:23.302076"
"mice_batch_4",5.84230589866638,"2026-04-09 13:32:39.814758","2026-04-09 13:32:45.657064","batch=4; m=2; maxit=5","20260409_132423","pilot",5175,"2026-04-09 13:24:23.302076"
"mice_batch_5",5.82973504066467,"2026-04-09 13:32:52.349844","2026-04-09 13:32:58.179579","batch=5; m=2; maxit=5","20260409_132423","pilot",5175,"2026-04-09 13:24:23.302076"
"mice_batch_7",5.66694903373718,"2026-04-09 13:33:17.621652","2026-04-09 13:33:23.288601","batch=7; m=2; maxit=5","20260409_132423","pilot",5175,"2026-04-09 13:24:23.302076"
"mice_batch_8",5.48254489898682,"2026-04-09 13:33:29.099539","2026-04-09 13:33:34.582084","batch=8; m=2; maxit=5","20260409_132423","pilot",5175,"2026-04-09 13:24:23.302076"
"mice_batch_3",5.01102113723755,"2026-04-09 13:32:28.38516","2026-04-09 13:32:33.396181","batch=3; m=2; maxit=5","20260409_132423","pilot",5175,"2026-04-09 13:24:23.302076"
"mice_batch_2",4.96252799034119,"2026-04-09 13:32:17.303518","2026-04-09 13:32:22.266046","batch=2; m=2; maxit=5","20260409_132423","pilot",5175,"2026-04-09 13:24:23.302076"
