"step_name","seconds","start_time","end_time","notes","run_id","run_mode","n_subset","run_ts"
"mi_single_pass",14593.1268508434,"2026-04-20 06:52:45.360176","2026-04-20 10:55:58.487027","m=80","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_26",4028.35350012779,"2026-04-19 23:06:05.918623","2026-04-20 00:13:14.272123","batch=26; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_33",2827.16537094116,"2026-04-20 02:27:42.653836","2026-04-20 03:14:49.819207","batch=33; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_30",2431.26704001427,"2026-04-20 01:10:18.911021","2026-04-20 01:50:50.178061","batch=30; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_23",2420.44358301163,"2026-04-19 21:54:43.131886","2026-04-19 22:35:03.575469","batch=23; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_11",2378.01350903511,"2026-04-19 17:16:57.404563","2026-04-19 17:56:35.418072","batch=11; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_8",2271.43538093567,"2026-04-19 15:50:59.389856","2026-04-19 16:28:50.825237","batch=8; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_38",2199.3483300209,"2026-04-20 04:27:18.685402","2026-04-20 05:03:58.033732","batch=38; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_9",2110.34852600098,"2026-04-19 16:29:22.034729","2026-04-19 17:04:32.383255","batch=9; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_36",2055.01828503609,"2026-04-20 03:39:32.292923","2026-04-20 04:13:47.311208","batch=36; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_40",1945.88747215271,"2026-04-20 05:17:13.570762","2026-04-20 05:49:39.458234","batch=40; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_5",1817.76731586456,"2026-04-19 14:37:59.903315","2026-04-19 15:08:17.670631","batch=5; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_14",1763.5425798893,"2026-04-19 18:51:15.675435","2026-04-19 19:20:39.218015","batch=14; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_4",1760.80189609528,"2026-04-19 14:08:11.094976","2026-04-19 14:37:31.896872","batch=4; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
