"analysis_variant","group","outcome","model_type","n","run_id","run_ts"
"mi_ipw","ABG","death_60d","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","ABG","death_60d","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","ABG","hypercap_resp_failure","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","ABG","hypercap_resp_failure","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","ABG","imv_proc","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","ABG","imv_proc","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","ABG","niv_proc","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","ABG","niv_proc","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","VBG","death_60d","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","VBG","death_60d","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","VBG","hypercap_resp_failure","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","VBG","hypercap_resp_failure","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","VBG","niv_proc","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","VBG","niv_proc","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_unweighted","ABG","hypercap_resp_failure","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_unweighted","ABG","hypercap_resp_failure","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_unweighted","ABG","imv_proc","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_unweighted","ABG","imv_proc","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_unweighted","ABG","niv_proc","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_unweighted","VBG","death_60d","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_unweighted","VBG","death_60d","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_unweighted","VBG","hypercap_resp_failure","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_unweighted","VBG","hypercap_resp_failure","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_unweighted","VBG","niv_proc","cat3",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_unweighted","VBG","niv_proc","spline",20,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","VBG","imv_proc","cat3",7,"20260424_063653","2026-04-24 06:36:53.744157"
"mi_ipw","VBG","imv_proc","spline",4,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","ABG","death_60d","spline",2,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","ABG","hypercap_resp_failure","spline",2,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","ABG","imv_proc","spline",2,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","ABG","niv_proc","spline",2,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","ABG","death_60d","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","ABG","hypercap_resp_failure","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","ABG","imv_proc","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","ABG","niv_proc","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","VBG","death_60d","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","VBG","death_60d","spline",1,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","VBG","hypercap_resp_failure","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","VBG","hypercap_resp_failure","spline",1,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","VBG","niv_proc","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"ipw","VBG","niv_proc","spline",1,"20260424_063653","2026-04-24 06:36:53.744157"
"unweighted","ABG","hypercap_resp_failure","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"unweighted","ABG","hypercap_resp_failure","spline",1,"20260424_063653","2026-04-24 06:36:53.744157"
"unweighted","ABG","imv_proc","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"unweighted","ABG","imv_proc","spline",1,"20260424_063653","2026-04-24 06:36:53.744157"
"unweighted","ABG","niv_proc","spline",1,"20260424_063653","2026-04-24 06:36:53.744157"
"unweighted","VBG","death_60d","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"unweighted","VBG","death_60d","spline",1,"20260424_063653","2026-04-24 06:36:53.744157"
"unweighted","VBG","hypercap_resp_failure","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"unweighted","VBG","hypercap_resp_failure","spline",1,"20260424_063653","2026-04-24 06:36:53.744157"
"unweighted","VBG","niv_proc","cat3",1,"20260424_063653","2026-04-24 06:36:53.744157"
"unweighted","VBG","niv_proc","spline",1,"20260424_063653","2026-04-24 06:36:53.744157"
