"feature","mean_abs_shap","group","run_id","run_ts"
"serum_lac",1.74109415757563,"VBG","20260208_102357","2026-02-08 10:23:57.345274"
"serum_cr",1.44229161266202,"VBG","20260208_102357","2026-02-08 10:23:57.345274"
"hr",1.00640271814252,"VBG","20260208_102357","2026-02-08 10:23:57.345274"
"location",0.815526867007925,"VBG","20260208_102357","2026-02-08 10:23:57.345274"
"wbc",0.634650205798114,"VBG","20260208_102357","2026-02-08 10:23:57.345274"
"serum_hco3",0.494694697336641,"VBG","20260208_102357","2026-02-08 10:23:57.345274"
"curr_bmi",0.47900870584466,"VBG","20260208_102357","2026-02-08 10:23:57.345274"
"serum_k",0.44670128080691,"VBG","20260208_102357","2026-02-08 10:23:57.345274"
"race_ethnicity",0.377247462819365,"VBG","20260208_102357","2026-02-08 10:23:57.345274"
"sbp",0.355105540941014,"VBG","20260208_102357","2026-02-08 10:23:57.345274"
