"row_id","panel","variable","var_type","row_type","var_label","label","Everyone","Did not get ABG N = 3,264","Did get ABG N = 1,911","run_id","run_ts"
1,"ABG status","age_at_encounter","continuous","label","Age","Age","59.5 ± 17.6; 0.0/5,175.0 missing (0.0%)","58.4 ± 17.7; 0.0/3,264.0 missing (0.0%)","61.3 ± 17.2; 0.0/1,911.0 missing (0.0%)","20260409_144021","2026-04-09 14:40:21.913837"
2,"ABG status","curr_bmi","continuous","label","BMI","BMI","31.3 ± 8.5; 2,934.0/5,175.0 missing (56.7%)","32.6 ± 8.9; 1,821.0/3,264.0 missing (55.8%)","28.8 ± 7.0; 1,113.0/1,911.0 missing (58.2%)","20260409_144021","2026-04-09 14:40:21.913837"
3,"ABG status","sex_label","categorical","label","Sex","Sex",NA,NA,NA,"20260409_144021","2026-04-09 14:40:21.913837"
4,"ABG status","sex_label","categorical","level","Sex","Female","2,591 (50%)","1,737 (53%)","854 (45%)","20260409_144021","2026-04-09 14:40:21.913837"
5,"ABG status","sex_label","categorical","level","Sex","Male","2,584 (50%)","1,527 (47%)","1,057 (55%)","20260409_144021","2026-04-09 14:40:21.913837"
6,"ABG status","race_ethnicity_label","categorical","label","Race/Ethnicity","Race/Ethnicity",NA,NA,NA,"20260409_144021","2026-04-09 14:40:21.913837"
7,"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","White","3,280 (63%)","2,009 (62%)","1,271 (67%)","20260409_144021","2026-04-09 14:40:21.913837"
8,"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Black or African American","884 (17%)","601 (18%)","283 (15%)","20260409_144021","2026-04-09 14:40:21.913837"
9,"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Hispanic","334 (6.5%)","250 (7.7%)","84 (4.4%)","20260409_144021","2026-04-09 14:40:21.913837"
10,"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Asian","83 (1.6%)","46 (1.4%)","37 (1.9%)","20260409_144021","2026-04-09 14:40:21.913837"
11,"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","American Indian","36 (0.7%)","11 (0.3%)","25 (1.3%)","20260409_144021","2026-04-09 14:40:21.913837"
12,"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Pacific Islander","10 (0.2%)","8 (0.2%)","2 (0.1%)","20260409_144021","2026-04-09 14:40:21.913837"
13,"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Unknown","548 (11%)","339 (10%)","209 (11%)","20260409_144021","2026-04-09 14:40:21.913837"
14,"ABG status","location_label","categorical","label","Location","Location",NA,NA,NA,"20260409_144021","2026-04-09 14:40:21.913837"
15,"ABG status","location_label","categorical","level","Location","South","2,431 (47%)","1,374 (42%)","1,057 (55%)","20260409_144021","2026-04-09 14:40:21.913837"
16,"ABG status","location_label","categorical","level","Location","Northeast","1,300 (25%)","921 (28%)","379 (20%)","20260409_144021","2026-04-09 14:40:21.913837"
17,"ABG status","location_label","categorical","level","Location","Midwest","406 (7.8%)","246 (7.5%)","160 (8.4%)","20260409_144021","2026-04-09 14:40:21.913837"
18,"ABG status","location_label","categorical","level","Location","West","1,038 (20%)","723 (22%)","315 (16%)","20260409_144021","2026-04-09 14:40:21.913837"
19,"ABG status","osa_label","dichotomous","label","OSA","OSA","879 (17%)","576 (18%)","303 (16%)","20260409_144021","2026-04-09 14:40:21.913837"
20,"ABG status","asthma_label","dichotomous","label","Asthma","Asthma","684 (13%)","464 (14%)","220 (12%)","20260409_144021","2026-04-09 14:40:21.913837"
21,"ABG status","copd_label","dichotomous","label","COPD","COPD","1,013 (20%)","579 (18%)","434 (23%)","20260409_144021","2026-04-09 14:40:21.913837"
22,"ABG status","chf_label","dichotomous","label","CHF","CHF","1,044 (20%)","587 (18%)","457 (24%)","20260409_144021","2026-04-09 14:40:21.913837"
23,"ABG status","nmd_label","dichotomous","label","NMD","NMD","233 (4.5%)","130 (4.0%)","103 (5.4%)","20260409_144021","2026-04-09 14:40:21.913837"
24,"ABG status","phtn_label","dichotomous","label","PHTN","PHTN","434 (8.4%)","239 (7.3%)","195 (10%)","20260409_144021","2026-04-09 14:40:21.913837"
25,"ABG status","ckd_label","dichotomous","label","CKD","CKD","904 (17%)","519 (16%)","385 (20%)","20260409_144021","2026-04-09 14:40:21.913837"
26,"ABG status","diabetes_label","dichotomous","label","Diabetes","Diabetes","1,513 (29%)","954 (29%)","559 (29%)","20260409_144021","2026-04-09 14:40:21.913837"
27,"ABG status","encounter_type_label","categorical","label","Encounter Type","Encounter Type",NA,NA,NA,"20260409_144021","2026-04-09 14:40:21.913837"
28,"ABG status","encounter_type_label","categorical","level","Encounter Type","Emergency","1,710 (33%)","1,427 (44%)","283 (15%)","20260409_144021","2026-04-09 14:40:21.913837"
29,"ABG status","encounter_type_label","categorical","level","Encounter Type","Inpatient","3,465 (67%)","1,837 (56%)","1,628 (85%)","20260409_144021","2026-04-09 14:40:21.913837"
