"Characteristic","Everyone","Did not get ABG","Did get ABG","Did not get VBG","Did get VBG","run_id","run_ts"
"Age","59.3 ± 17.7; 0.0/51,409.0 missing (0.0%)","58.2 ± 18.1; 0.0/32,832.0 missing (0.0%)","61.2 ± 16.9; 0.0/18,577.0 missing (0.0%)","59.4 ± 17.8; 0.0/36,499.0 missing (0.0%)","58.9 ± 17.7; 0.0/14,910.0 missing (0.0%)","20260421_094018","2026-04-21 09:40:18.841212"
"BMI","31.2 ± 8.3; 29,393.0/51,409.0 missing (57.2%)","32.3 ± 8.7; 18,533.0/32,832.0 missing (56.4%)","29.1 ± 7.1; 10,860.0/18,577.0 missing (58.5%)","31.8 ± 8.5; 19,290.0/36,499.0 missing (52.9%)","28.8 ± 7.4; 10,103.0/14,910.0 missing (67.8%)","20260421_094018","2026-04-21 09:40:18.841212"
"Sex","","","","","","20260421_094018","2026-04-21 09:40:18.841212"
"  Female","25,584 (50%)","17,151 (52%)","8,433 (45%)","18,543 (51%)","7,041 (47%)","20260421_094018","2026-04-21 09:40:18.841212"
"  Male","25,825 (50%)","15,681 (48%)","10,144 (55%)","17,956 (49%)","7,869 (53%)","20260421_094018","2026-04-21 09:40:18.841212"
"Race/Ethnicity","","","","","","20260421_094018","2026-04-21 09:40:18.841212"
"  White","32,177 (63%)","20,098 (61%)","12,079 (65%)","24,215 (66%)","7,962 (53%)","20260421_094018","2026-04-21 09:40:18.841212"
"  Black or African American","8,863 (17%)","6,132 (19%)","2,731 (15%)","6,072 (17%)","2,791 (19%)","20260421_094018","2026-04-21 09:40:18.841212"
"  Hispanic","3,369 (6.6%)","2,392 (7.3%)","977 (5.3%)","2,321 (6.4%)","1,048 (7.0%)","20260421_094018","2026-04-21 09:40:18.841212"
"  Asian","833 (1.6%)","500 (1.5%)","333 (1.8%)","542 (1.5%)","291 (2.0%)","20260421_094018","2026-04-21 09:40:18.841212"
"  American Indian","388 (0.8%)","179 (0.5%)","209 (1.1%)","183 (0.5%)","205 (1.4%)","20260421_094018","2026-04-21 09:40:18.841212"
"  Pacific Islander","68 (0.1%)","43 (0.1%)","25 (0.1%)","55 (0.2%)","13 (<0.1%)","20260421_094018","2026-04-21 09:40:18.841212"
"  Unknown","5,711 (11%)","3,488 (11%)","2,223 (12%)","3,111 (8.5%)","2,600 (17%)","20260421_094018","2026-04-21 09:40:18.841212"
"Location","","","","","","20260421_094018","2026-04-21 09:40:18.841212"
"  South","24,028 (47%)","13,763 (42%)","10,265 (55%)","19,521 (53%)","4,507 (30%)","20260421_094018","2026-04-21 09:40:18.841212"
"  Northeast","13,005 (25%)","9,416 (29%)","3,589 (19%)","6,613 (18%)","6,392 (43%)","20260421_094018","2026-04-21 09:40:18.841212"
"  Midwest","3,847 (7.5%)","2,280 (6.9%)","1,567 (8.4%)","2,503 (6.9%)","1,344 (9.0%)","20260421_094018","2026-04-21 09:40:18.841212"
"  West","10,529 (20%)","7,373 (22%)","3,156 (17%)","7,862 (22%)","2,667 (18%)","20260421_094018","2026-04-21 09:40:18.841212"
"OSA","9,031 (18%)","6,095 (19%)","2,936 (16%)","6,662 (18%)","2,369 (16%)","20260421_094018","2026-04-21 09:40:18.841212"
"Asthma","6,915 (13%)","4,819 (15%)","2,096 (11%)","4,957 (14%)","1,958 (13%)","20260421_094018","2026-04-21 09:40:18.841212"
"COPD","9,915 (19%)","5,998 (18%)","3,917 (21%)","7,011 (19%)","2,904 (19%)","20260421_094018","2026-04-21 09:40:18.841212"
"CHF","10,229 (20%)","6,032 (18%)","4,197 (23%)","7,026 (19%)","3,203 (21%)","20260421_094018","2026-04-21 09:40:18.841212"
"NMD","2,059 (4.0%)","1,222 (3.7%)","837 (4.5%)","1,535 (4.2%)","524 (3.5%)","20260421_094018","2026-04-21 09:40:18.841212"
"PHTN","4,267 (8.3%)","2,477 (7.5%)","1,790 (9.6%)","2,857 (7.8%)","1,410 (9.5%)","20260421_094018","2026-04-21 09:40:18.841212"
"CKD","9,335 (18%)","5,601 (17%)","3,734 (20%)","6,299 (17%)","3,036 (20%)","20260421_094018","2026-04-21 09:40:18.841212"
"Diabetes","15,044 (29%)","9,498 (29%)","5,546 (30%)","10,231 (28%)","4,813 (32%)","20260421_094018","2026-04-21 09:40:18.841212"
"Encounter Type","","","","","","20260421_094018","2026-04-21 09:40:18.841212"
"  Emergency","17,034 (33%)","14,095 (43%)","2,939 (16%)","12,325 (34%)","4,709 (32%)","20260421_094018","2026-04-21 09:40:18.841212"
"  Inpatient","34,375 (67%)","18,737 (57%)","15,638 (84%)","24,174 (66%)","10,201 (68%)","20260421_094018","2026-04-21 09:40:18.841212"
