"panel","variable","var_type","row_type","var_label","label","Everyone","Did not get ABG N = 81,868","Did get ABG N = 46,653","Did not get VBG N = 91,138","Did get VBG N = 37,383","run_id","run_ts"
"ABG status","age_at_encounter","continuous","label","Age","Age","59.2 ± 17.7; 0.0/128,521.0 missing (0.0%)","58.1 ± 18.1; 0.0/81,868.0 missing (0.0%)","61.2 ± 16.9; 0.0/46,653.0 missing (0.0%)","59.4 ± 17.8; 0.0/91,138.0 missing (0.0%)","58.9 ± 17.6; 0.0/37,383.0 missing (0.0%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","curr_bmi","continuous","label","BMI","BMI","31.1 ± 8.3; 73,272.0/128,521.0 missing (57.0%)","32.2 ± 8.7; 46,078.0/81,868.0 missing (56.3%)","29.0 ± 7.2; 27,194.0/46,653.0 missing (58.3%)","31.7 ± 8.5; 48,047.0/91,138.0 missing (52.7%)","28.8 ± 7.4; 25,225.0/37,383.0 missing (67.5%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","sex_label","categorical","label","Sex","Sex",NA,NA,NA,NA,NA,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","sex_label","categorical","level","Sex","Female","63,461 (49%)","42,242 (52%)","21,219 (45%)","46,152 (51%)","17,309 (46%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","sex_label","categorical","level","Sex","Male","65,060 (51%)","39,626 (48%)","25,434 (55%)","44,986 (49%)","20,074 (54%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","race_ethnicity_label","categorical","label","Race/Ethnicity","Race/Ethnicity",NA,NA,NA,NA,NA,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","White","80,152 (62%)","49,867 (61%)","30,285 (65%)","60,106 (66%)","20,046 (54%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Black or African American","22,349 (17%)","15,542 (19%)","6,807 (15%)","15,339 (17%)","7,010 (19%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Hispanic","8,479 (6.6%)","5,992 (7.3%)","2,487 (5.3%)","5,795 (6.4%)","2,684 (7.2%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Asian","2,085 (1.6%)","1,250 (1.5%)","835 (1.8%)","1,367 (1.5%)","718 (1.9%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","American Indian","968 (0.8%)","442 (0.5%)","526 (1.1%)","492 (0.5%)","476 (1.3%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Pacific Islander","184 (0.1%)","122 (0.1%)","62 (0.1%)","150 (0.2%)","34 (<0.1%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Unknown","14,304 (11%)","8,653 (11%)","5,651 (12%)","7,889 (8.7%)","6,415 (17%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","location_label","categorical","label","Location","Location",NA,NA,NA,NA,NA,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","location_label","categorical","level","Location","South","60,251 (47%)","34,356 (42%)","25,895 (56%)","48,895 (54%)","11,356 (30%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","location_label","categorical","level","Location","Northeast","32,438 (25%)","23,477 (29%)","8,961 (19%)","16,441 (18%)","15,997 (43%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","location_label","categorical","level","Location","Midwest","9,646 (7.5%)","5,732 (7.0%)","3,914 (8.4%)","6,223 (6.8%)","3,423 (9.2%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","location_label","categorical","level","Location","West","26,186 (20%)","18,303 (22%)","7,883 (17%)","19,579 (21%)","6,607 (18%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","osa_label","dichotomous","label","OSA","OSA","22,584 (18%)","15,183 (19%)","7,401 (16%)","16,508 (18%)","6,076 (16%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","asthma_label","dichotomous","label","Asthma","Asthma","17,372 (14%)","12,083 (15%)","5,289 (11%)","12,437 (14%)","4,935 (13%)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG status","copd_label","dichotomous","label","COPD","COPD","24,996 (19%)","15,107 (18%)","9,889 (21%)","17,656 (19%)","7,340 (20%)","20260423_111150","2026-04-23 11:11:50.486947"
