"row_id","panel","variable","var_type","row_type","var_label","label","Everyone","Did not get VBG N = 182,803","Did get VBG N = 74,950","run_id","run_ts"
1,"VBG status","age_at_encounter","continuous","label","Age","Age","59.3 ± 17.7; 0.0/257,753.0 missing (0.0%)","59.4 ± 17.8; 0.0/182,803.0 missing (0.0%)","58.9 ± 17.5; 0.0/74,950.0 missing (0.0%)","20260415_003149","2026-04-15 00:31:49.347034"
2,"VBG status","curr_bmi","continuous","label","BMI","BMI","31.1 ± 8.4; 146,849.0/257,753.0 missing (57.0%)","31.8 ± 8.5; 96,429.0/182,803.0 missing (52.8%)","28.9 ± 7.4; 50,420.0/74,950.0 missing (67.3%)","20260415_003149","2026-04-15 00:31:49.347034"
3,"VBG status","sex_label","categorical","label","Sex","Sex",NA,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
4,"VBG status","sex_label","categorical","level","Sex","Female","126,897 (49%)","92,068 (50%)","34,829 (46%)","20260415_003149","2026-04-15 00:31:49.347034"
5,"VBG status","sex_label","categorical","level","Sex","Male","130,856 (51%)","90,735 (50%)","40,121 (54%)","20260415_003149","2026-04-15 00:31:49.347034"
6,"VBG status","race_ethnicity_label","categorical","label","Race/Ethnicity","Race/Ethnicity",NA,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
7,"VBG status","race_ethnicity_label","categorical","level","Race/Ethnicity","White","160,576 (62%)","120,533 (66%)","40,043 (53%)","20260415_003149","2026-04-15 00:31:49.347034"
8,"VBG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Black or African American","45,030 (17%)","30,967 (17%)","14,063 (19%)","20260415_003149","2026-04-15 00:31:49.347034"
9,"VBG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Hispanic","16,767 (6.5%)","11,435 (6.3%)","5,332 (7.1%)","20260415_003149","2026-04-15 00:31:49.347034"
10,"VBG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Asian","4,236 (1.6%)","2,814 (1.5%)","1,422 (1.9%)","20260415_003149","2026-04-15 00:31:49.347034"
11,"VBG status","race_ethnicity_label","categorical","level","Race/Ethnicity","American Indian","1,995 (0.8%)","1,017 (0.6%)","978 (1.3%)","20260415_003149","2026-04-15 00:31:49.347034"
12,"VBG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Pacific Islander","329 (0.1%)","257 (0.1%)","72 (<0.1%)","20260415_003149","2026-04-15 00:31:49.347034"
13,"VBG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Unknown","28,820 (11%)","15,780 (8.6%)","13,040 (17%)","20260415_003149","2026-04-15 00:31:49.347034"
14,"VBG status","location_label","categorical","label","Location","Location",NA,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
15,"VBG status","location_label","categorical","level","Location","South","120,995 (47%)","98,342 (54%)","22,653 (30%)","20260415_003149","2026-04-15 00:31:49.347034"
16,"VBG status","location_label","categorical","level","Location","Northeast","64,602 (25%)","32,603 (18%)","31,999 (43%)","20260415_003149","2026-04-15 00:31:49.347034"
17,"VBG status","location_label","categorical","level","Location","Midwest","19,431 (7.5%)","12,538 (6.9%)","6,893 (9.2%)","20260415_003149","2026-04-15 00:31:49.347034"
18,"VBG status","location_label","categorical","level","Location","West","52,725 (20%)","39,320 (22%)","13,405 (18%)","20260415_003149","2026-04-15 00:31:49.347034"
19,"VBG status","osa_label","dichotomous","label","OSA","OSA","45,321 (18%)","32,920 (18%)","12,401 (17%)","20260415_003149","2026-04-15 00:31:49.347034"
20,"VBG status","asthma_label","dichotomous","label","Asthma","Asthma","34,882 (14%)","24,839 (14%)","10,043 (13%)","20260415_003149","2026-04-15 00:31:49.347034"
21,"VBG status","copd_label","dichotomous","label","COPD","COPD","50,187 (19%)","35,466 (19%)","14,721 (20%)","20260415_003149","2026-04-15 00:31:49.347034"
22,"VBG status","chf_label","dichotomous","label","CHF","CHF","50,552 (20%)","34,310 (19%)","16,242 (22%)","20260415_003149","2026-04-15 00:31:49.347034"
23,"VBG status","nmd_label","dichotomous","label","NMD","NMD","10,168 (3.9%)","7,416 (4.1%)","2,752 (3.7%)","20260415_003149","2026-04-15 00:31:49.347034"
24,"VBG status","phtn_label","dichotomous","label","PHTN","PHTN","20,996 (8.1%)","13,913 (7.6%)","7,083 (9.5%)","20260415_003149","2026-04-15 00:31:49.347034"
25,"VBG status","ckd_label","dichotomous","label","CKD","CKD","45,666 (18%)","30,629 (17%)","15,037 (20%)","20260415_003149","2026-04-15 00:31:49.347034"
26,"VBG status","diabetes_label","dichotomous","label","Diabetes","Diabetes","74,548 (29%)","50,641 (28%)","23,907 (32%)","20260415_003149","2026-04-15 00:31:49.347034"
27,"VBG status","encounter_type_label","categorical","label","Encounter Type","Encounter Type",NA,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
28,"VBG status","encounter_type_label","categorical","level","Encounter Type","Emergency","85,988 (33%)","62,216 (34%)","23,772 (32%)","20260415_003149","2026-04-15 00:31:49.347034"
29,"VBG status","encounter_type_label","categorical","level","Encounter Type","Inpatient","171,765 (67%)","120,587 (66%)","51,178 (68%)","20260415_003149","2026-04-15 00:31:49.347034"
