"panel","variable","var_type","row_type","var_label","label","Everyone","Did not get ABG N = 328,044","Did get ABG N = 187,242","Did not get VBG N = 365,623","Did get VBG N = 149,663","run_id","run_ts"
"ABG status","age_at_encounter","continuous","label","Age","Age","59.2 ± 17.7; 0.0/515,286.0 missing (0.0%)","58.1 ± 18.1; 0.0/328,044.0 missing (0.0%)","61.2 ± 16.9; 0.0/187,242.0 missing (0.0%)","59.4 ± 17.8; 0.0/365,623.0 missing (0.0%)","58.9 ± 17.5; 0.0/149,663.0 missing (0.0%)","20260419_112645","2026-04-19 11:26:45.267227"
"ABG status","curr_bmi","continuous","label","BMI","BMI","31.1 ± 8.4; 293,545.0/515,286.0 missing (57.0%)","32.3 ± 8.7; 184,223.0/328,044.0 missing (56.2%)","29.0 ± 7.2; 109,322.0/187,242.0 missing (58.4%)","31.8 ± 8.5; 192,892.0/365,623.0 missing (52.8%)","28.8 ± 7.4; 100,653.0/149,663.0 missing (67.3%)","20260419_112645","2026-04-19 11:26:45.267227"
"ABG status","sex_label","categorical","label","Sex","Sex",NA,NA,NA,NA,NA,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG status","sex_label","categorical","level","Sex","Female","253,906 (49%)","169,023 (52%)","84,883 (45%)","184,619 (50%)","69,287 (46%)","20260419_112645","2026-04-19 11:26:45.267227"
"ABG status","sex_label","categorical","level","Sex","Male","261,380 (51%)","159,021 (48%)","102,359 (55%)","181,004 (50%)","80,376 (54%)","20260419_112645","2026-04-19 11:26:45.267227"
"ABG status","race_ethnicity_label","categorical","label","Race/Ethnicity","Race/Ethnicity",NA,NA,NA,NA,NA,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","White","321,174 (62%)","200,033 (61%)","121,141 (65%)","241,114 (66%)","80,060 (53%)","20260419_112645","2026-04-19 11:26:45.267227"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Black or African American","89,697 (17%)","62,418 (19%)","27,279 (15%)","61,814 (17%)","27,883 (19%)","20260419_112645","2026-04-19 11:26:45.267227"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Hispanic","33,769 (6.6%)","23,548 (7.2%)","10,221 (5.5%)","22,951 (6.3%)","10,818 (7.2%)","20260419_112645","2026-04-19 11:26:45.267227"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","Asian","8,408 (1.6%)","4,880 (1.5%)","3,528 (1.9%)","5,439 (1.5%)","2,969 (2.0%)","20260419_112645","2026-04-19 11:26:45.267227"
"ABG status","race_ethnicity_label","categorical","level","Race/Ethnicity","American Indian","4,055 (0.8%)","1,971 (0.6%)","2,084 (1.1%)","2,128 (0.6%)","1,927 (1.3%)","20260419_112645","2026-04-19 11:26:45.267227"
