"panel","Gas type","Outcome","Analysis N","Events","measure","estimate","run_id","run_ts"
"Odds ratios","ABG","IMV",1911,463,"Low vs normal OR (95% CI)","1.41 (1.05, 1.90)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","ABG","IMV",1911,463,"High vs normal OR (95% CI)","1.26 (0.93, 1.71)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","VBG","IMV",1445,208,"Low vs normal OR (95% CI)","1.24 (0.77, 2.00)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","VBG","IMV",1445,208,"High vs normal OR (95% CI)","1.63 (1.02, 2.60)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","ABG","NIV",1911,183,"Low vs normal OR (95% CI)","1.04 (0.63, 1.72)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","ABG","NIV",1911,183,"High vs normal OR (95% CI)","3.05 (1.99, 4.68)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","VBG","NIV",1445,100,"Low vs normal OR (95% CI)","0.76 (0.38, 1.52)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","VBG","NIV",1445,100,"High vs normal OR (95% CI)","2.69 (1.47, 4.90)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","ABG","Death (60d)",1911,322,"Low vs normal OR (95% CI)","1.55 (1.07, 2.25)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","ABG","Death (60d)",1911,322,"High vs normal OR (95% CI)","1.50 (1.06, 2.14)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","VBG","Death (60d)",1445,200,"Low vs normal OR (95% CI)","1.10 (0.68, 1.79)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","VBG","Death (60d)",1445,200,"High vs normal OR (95% CI)","1.10 (0.70, 1.74)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","ABG","Hypercapnic RF",1911,206,"Low vs normal OR (95% CI)","1.26 (0.70, 2.26)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","ABG","Hypercapnic RF",1911,206,"High vs normal OR (95% CI)","9.21 (5.73, 14.81)","20260423_104307","2026-04-23 10:43:07.487173"
"Odds ratios","VBG","Hypercapnic RF",1445,133,"Low vs normal OR (95% CI)","0.68 (0.30, 1.54)","20260423_104307","2026-04-23 10:43:07.487173"
