"Gas type","Outcome","Contrast","OR (95% CI)","run_id","run_ts"
"ABG","IMV","Low vs normal","1.44 (1.12, 1.86)","20260424_063653","2026-04-24 06:36:53.744157"
"ABG","IMV","High vs normal","1.28 (0.99, 1.65)","20260424_063653","2026-04-24 06:36:53.744157"
"VBG","IMV","Low vs normal","1.48 (1.03, 2.13)","20260424_063653","2026-04-24 06:36:53.744157"
"VBG","IMV","High vs normal","1.80 (1.27, 2.57)","20260424_063653","2026-04-24 06:36:53.744157"
"ABG","NIV","Low vs normal","1.00 (0.65, 1.52)","20260424_063653","2026-04-24 06:36:53.744157"
"ABG","NIV","High vs normal","2.26 (1.60, 3.21)","20260424_063653","2026-04-24 06:36:53.744157"
"VBG","NIV","Low vs normal","1.21 (0.69, 2.09)","20260424_063653","2026-04-24 06:36:53.744157"
"VBG","NIV","High vs normal","2.61 (1.63, 4.23)","20260424_063653","2026-04-24 06:36:53.744157"
"ABG","Death (60d)","Low vs normal","1.60 (1.19, 2.15)","20260424_063653","2026-04-24 06:36:53.744157"
"ABG","Death (60d)","High vs normal","1.55 (1.16, 2.08)","20260424_063653","2026-04-24 06:36:53.744157"
"VBG","Death (60d)","Low vs normal","1.71 (1.19, 2.45)","20260424_063653","2026-04-24 06:36:53.744157"
"VBG","Death (60d)","High vs normal","1.58 (1.10, 2.29)","20260424_063653","2026-04-24 06:36:53.744157"
"ABG","Hypercapnic RF","Low vs normal","1.36 (0.81, 2.28)","20260424_063653","2026-04-24 06:36:53.744157"
"ABG","Hypercapnic RF","High vs normal","8.29 (5.65, 12.50)","20260424_063653","2026-04-24 06:36:53.744157"
"VBG","Hypercapnic RF","Low vs normal","0.99 (0.51, 1.85)","20260424_063653","2026-04-24 06:36:53.744157"
"VBG","Hypercapnic RF","High vs normal","7.13 (4.58, 11.46)","20260424_063653","2026-04-24 06:36:53.744157"
