"Gas type","Outcome","Contrast","OR (95% CI)","run_id","run_ts"
"ABG","IMV","Low vs normal","1.41 (1.33, 1.49)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG","IMV","High vs normal","1.30 (1.23, 1.38)","20260423_111150","2026-04-23 11:11:50.486947"
"VBG","IMV","Low vs normal","1.38 (1.28, 1.50)","20260423_111150","2026-04-23 11:11:50.486947"
"VBG","IMV","High vs normal","1.55 (1.43, 1.67)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG","NIV","Low vs normal","1.04 (0.95, 1.15)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG","NIV","High vs normal","2.69 (2.48, 2.92)","20260423_111150","2026-04-23 11:11:50.486947"
"VBG","NIV","Low vs normal","0.99 (0.87, 1.12)","20260423_111150","2026-04-23 11:11:50.486947"
"VBG","NIV","High vs normal","2.84 (2.56, 3.15)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG","Death (60d)","Low vs normal","1.99 (1.86, 2.12)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG","Death (60d)","High vs normal","1.43 (1.34, 1.53)","20260423_111150","2026-04-23 11:11:50.486947"
"VBG","Death (60d)","Low vs normal","1.72 (1.58, 1.86)","20260423_111150","2026-04-23 11:11:50.486947"
"VBG","Death (60d)","High vs normal","1.40 (1.29, 1.52)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG","Hypercapnic RF","Low vs normal","0.99 (0.89, 1.11)","20260423_111150","2026-04-23 11:11:50.486947"
"ABG","Hypercapnic RF","High vs normal","6.68 (6.15, 7.25)","20260423_111150","2026-04-23 11:11:50.486947"
"VBG","Hypercapnic RF","Low vs normal","0.92 (0.80, 1.07)","20260423_111150","2026-04-23 11:11:50.486947"
"VBG","Hypercapnic RF","High vs normal","8.76 (7.88, 9.73)","20260423_111150","2026-04-23 11:11:50.486947"
