"Variable","Analysis role","% missing","Included in MI model","Imputed if missing","Observed complete","Notes","run_id","run_ts"
"Age","direct adjustment; PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"Sex","direct adjustment; PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"Race/ethnicity","direct adjustment; PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"BMI","PS model","56.7%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"COPD","PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"Asthma","PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"OSA","PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"CHF","PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"Neuromuscular disease","PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"Pulmonary hypertension","PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"Chronic kidney disease","PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"Diabetes","PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"Location","direct adjustment; PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"Encounter type","direct adjustment; PS model","0.0%","Yes","No","Yes","Complete in this render; used as MI predictor or model variable.","20260424_063653","2026-04-24 06:36:53.744157"
"Temperature","PS model","48.3%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Systolic blood pressure","PS model","29.8%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Diastolic blood pressure","PS model","30.1%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Heart rate","PS model","36.5%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Sodium","PS model","5.0%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Serum creatinine","PS model","9.3%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Serum bicarbonate","PS model","5.4%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Serum chloride","PS model","5.8%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Serum lactate","PS model","60.4%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Serum potassium","PS model","7.8%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"White blood cell count","PS model","17.3%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Platelet count","PS model","7.7%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Serum phosphate","PS model","52.8%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
"Serum calcium","PS model","10.0%","Yes","Yes","No","Eligible for MICE method: pmm.","20260424_063653","2026-04-24 06:36:53.744157"
