"Domain","Metric","Value","Interpretation","run_id","run_ts"
"Imputation run","Completed imputations","20","Primary analysis imputation count used in this render.","20260423_111150","2026-04-23 11:11:50.486947"
"Imputation run","Iterations per imputation","5","Configured MICE iteration count for this render.","20260423_111150","2026-04-23 11:11:50.486947"
"Imputation run","Variables imputed","16","Variables with non-empty MICE imputation methods and observed missingness.","20260423_111150","2026-04-23 11:11:50.486947"
"Monte Carlo error","Maximum MC error / SE in diagnostic model","0.170","Diagnostic model ratio; lower values indicate less simulation noise relative to model SE.","20260423_111150","2026-04-23 11:11:50.486947"
"Chain diagnostics","Variables with available chain diagnostics","16","Imputed variables with traceable chain-mean diagnostics.","20260423_111150","2026-04-23 11:11:50.486947"
"Chain diagnostics","Variables flagged for drift","6","Variables exceeding drift/slope screening thresholds.","20260423_111150","2026-04-23 11:11:50.486947"
"MICE logged events","Total logged events","0","Rows reported by mice::loggedEvents across batches.","20260423_111150","2026-04-23 11:11:50.486947"
"Captured warnings","Captured warning rows","0","Warnings captured by notebook-level diagnostics wrappers.","20260423_111150","2026-04-23 11:11:50.486947"
"Outcome fit diagnostics","MI model fits audited","692","Outcome-model diagnostic rows captured for MI analyses.","20260423_111150","2026-04-23 11:11:50.486947"
"Outcome fit diagnostics","Fits with nonconvergence flags","0","Potential convergence problems requiring review if nonzero.","20260423_111150","2026-04-23 11:11:50.486947"
"Outcome fit diagnostics","Fits with separation/extreme-probability flags","172","Known separation/extreme-probability screen; interpret affected estimates cautiously.","20260423_111150","2026-04-23 11:11:50.486947"
