"method","group","outcome","n_model","events","Low vs normal","High vs normal","run_id","run_ts"
"Unweighted adjusted","VBG","IMV",1500,242,"1.53 (1.08, 2.16)","1.74 (1.22, 2.48)","20260416_211701","2026-04-16 21:17:01.49828"
"Unweighted adjusted","VBG","NIV",1500,118,"0.73 (0.42, 1.25)","2.54 (1.61, 4.07)","20260416_211701","2026-04-16 21:17:01.49828"
"Unweighted adjusted","VBG","Death (60d)",1500,192,"1.69 (1.16, 2.46)","1.34 (0.91, 1.98)","20260416_211701","2026-04-16 21:17:01.49828"
"Unweighted adjusted","VBG","Hypercapnic RF",1500,128,"0.93 (0.46, 1.81)","9.33 (5.76, 15.74)","20260416_211701","2026-04-16 21:17:01.49828"
"IPW adjusted","VBG","IMV",1500,242,"1.53 (1.05, 2.23)","1.77 (1.21, 2.57)","20260416_211701","2026-04-16 21:17:01.49828"
"IPW adjusted","VBG","NIV",1500,118,"0.66 (0.37, 1.18)","2.77 (1.70, 4.51)","20260416_211701","2026-04-16 21:17:01.49828"
"IPW adjusted","VBG","Death (60d)",1500,192,"1.72 (1.14, 2.57)","1.42 (0.94, 2.15)","20260416_211701","2026-04-16 21:17:01.49828"
"IPW adjusted","VBG","Hypercapnic RF",1500,128,"0.83 (0.41, 1.69)","9.51 (5.55, 16.28)","20260416_211701","2026-04-16 21:17:01.49828"
"IPW + MI adjusted","VBG","IMV",1500,242,"1.53 (1.00, 2.33)","1.51 (0.98, 2.32)","20260416_211701","2026-04-16 21:17:01.49828"
"IPW + MI adjusted","VBG","NIV",1500,118,"0.56 (0.29, 1.07)","2.47 (1.39, 4.39)","20260416_211701","2026-04-16 21:17:01.49828"
"IPW + MI adjusted","VBG","Death (60d)",1500,192,"1.78 (1.12, 2.82)","1.28 (0.80, 2.03)","20260416_211701","2026-04-16 21:17:01.49828"
"IPW + MI adjusted","VBG","Hypercapnic RF",1500,128,"0.99 (0.43, 2.25)","10.25 (5.38, 19.52)","20260416_211701","2026-04-16 21:17:01.49828"
