"n_model","events","method","group","outcome","Low vs normal OR (95% CI)","High vs normal OR (95% CI)","Normal probability (95% CI)","Low probability (95% CI)","High probability (95% CI)","run_id","run_ts"
187242,48173,"Crude","ABG","IMV","1.34 (1.31, 1.38)","1.24 (1.21, 1.27)","0.23 (0.23, 0.23)","0.29 (0.28, 0.29)","0.27 (0.27, 0.28)","20260419_112645","2026-04-19 11:26:45.267227"
187242,19040,"Crude","ABG","NIV","1.01 (0.97, 1.05)","2.42 (2.34, 2.50)","0.08 (0.07, 0.08)","0.08 (0.07, 0.08)","0.17 (0.16, 0.17)","20260419_112645","2026-04-19 11:26:45.267227"
187242,32718,"Crude","ABG","Death (60d)","1.90 (1.85, 1.95)","1.47 (1.42, 1.51)","0.14 (0.13, 0.14)","0.23 (0.23, 0.23)","0.19 (0.18, 0.19)","20260419_112645","2026-04-19 11:26:45.267227"
187242,20276,"Crude","ABG","Hypercapnic RF","0.92 (0.87, 0.97)","5.82 (5.62, 6.03)","0.05 (0.05, 0.06)","0.05 (0.05, 0.05)","0.25 (0.25, 0.25)","20260419_112645","2026-04-19 11:26:45.267227"
149663,23217,"Crude","VBG","IMV","1.48 (1.43, 1.54)","1.67 (1.61, 1.73)","0.12 (0.12, 0.13)","0.17 (0.17, 0.18)","0.19 (0.19, 0.19)","20260419_112645","2026-04-19 11:26:45.267227"
149663,10699,"Crude","VBG","NIV","1.18 (1.12, 1.25)","2.89 (2.76, 3.03)","0.05 (0.05, 0.05)","0.06 (0.05, 0.06)","0.13 (0.12, 0.13)","20260419_112645","2026-04-19 11:26:45.267227"
149663,20483,"Crude","VBG","Death (60d)","1.78 (1.71, 1.84)","1.61 (1.55, 1.67)","0.10 (0.10, 0.11)","0.17 (0.17, 0.18)","0.16 (0.15, 0.16)","20260419_112645","2026-04-19 11:26:45.267227"
149663,13228,"Crude","VBG","Hypercapnic RF","0.98 (0.92, 1.04)","7.67 (7.33, 8.03)","0.04 (0.04, 0.04)","0.04 (0.03, 0.04)","0.23 (0.23, 0.23)","20260419_112645","2026-04-19 11:26:45.267227"
187242,48173,"Adjusted","ABG","IMV","1.36 (1.33, 1.39)","1.31 (1.28, 1.34)","0.23 (0.22, 0.23)","0.29 (0.28, 0.29)","0.28 (0.27, 0.28)","20260419_112645","2026-04-19 11:26:45.267227"
187242,19040,"Adjusted","ABG","NIV","1.00 (0.96, 1.04)","2.65 (2.56, 2.74)","0.10 (0.09, 0.10)","0.10 (0.09, 0.10)","0.22 (0.21, 0.23)","20260419_112645","2026-04-19 11:26:45.267227"
187242,32718,"Adjusted","ABG","Death (60d)","1.98 (1.92, 2.04)","1.43 (1.38, 1.47)","0.13 (0.13, 0.13)","0.23 (0.22, 0.23)","0.17 (0.17, 0.18)","20260419_112645","2026-04-19 11:26:45.267227"
187242,20276,"Adjusted","ABG","Hypercapnic RF","0.91 (0.87, 0.96)","6.04 (5.83, 6.26)","0.05 (0.05, 0.05)","0.05 (0.05, 0.05)","0.25 (0.25, 0.26)","20260419_112645","2026-04-19 11:26:45.267227"
149663,23217,"Adjusted","VBG","IMV","1.28 (1.24, 1.33)","1.60 (1.55, 1.66)","0.17 (0.16, 0.17)","0.21 (0.20, 0.21)","0.25 (0.24, 0.25)","20260419_112645","2026-04-19 11:26:45.267227"
149663,10699,"Adjusted","VBG","NIV","1.00 (0.94, 1.06)","2.80 (2.67, 2.94)","0.02 (0.02, 0.02)","0.02 (0.02, 0.02)","0.06 (0.06, 0.07)","20260419_112645","2026-04-19 11:26:45.267227"
