"n_model","events","method","group","outcome","Low vs normal OR (95% CI)","High vs normal OR (95% CI)","Normal probability (95% CI)","Low probability (95% CI)","High probability (95% CI)","run_id","run_ts"
1911,463,"Crude","ABG","IMV","1.44 (1.12, 1.86)","1.28 (0.99, 1.65)","0.21 (0.18, 0.24)","0.28 (0.24, 0.32)","0.25 (0.22, 0.29)","20260418_181006","2026-04-18 18:10:06.674532"
1911,183,"Crude","ABG","NIV","1.00 (0.65, 1.52)","2.26 (1.60, 3.21)","0.07 (0.06, 0.09)","0.07 (0.05, 0.10)","0.15 (0.12, 0.18)","20260418_181006","2026-04-18 18:10:06.674532"
1911,322,"Crude","ABG","Death (60d)","1.60 (1.19, 2.15)","1.55 (1.16, 2.08)","0.13 (0.11, 0.16)","0.20 (0.17, 0.23)","0.19 (0.16, 0.23)","20260418_181006","2026-04-18 18:10:06.674532"
1911,206,"Crude","ABG","Hypercapnic RF","1.36 (0.81, 2.28)","8.29 (5.65, 12.50)","0.04 (0.03, 0.06)","0.05 (0.04, 0.08)","0.26 (0.22, 0.29)","20260418_181006","2026-04-18 18:10:06.674532"
1911,463,"Adjusted","ABG","IMV","1.39 (1.07, 1.80)","1.25 (0.96, 1.61)","0.22 (0.18, 0.26)","0.28 (0.23, 0.33)","0.25 (0.21, 0.31)","20260418_181006","2026-04-18 18:10:06.674532"
1911,183,"Adjusted","ABG","NIV","0.99 (0.64, 1.52)","2.62 (1.83, 3.78)","0.08 (0.06, 0.11)","0.08 (0.06, 0.12)","0.19 (0.14, 0.25)","20260418_181006","2026-04-18 18:10:06.674532"
1911,322,"Adjusted","ABG","Death (60d)","1.76 (1.29, 2.39)","1.54 (1.14, 2.08)","0.12 (0.09, 0.15)","0.19 (0.15, 0.24)","0.17 (0.13, 0.22)","20260418_181006","2026-04-18 18:10:06.674532"
1911,206,"Adjusted","ABG","Hypercapnic RF","1.37 (0.81, 2.30)","8.50 (5.76, 12.89)","0.04 (0.03, 0.06)","0.05 (0.03, 0.08)","0.26 (0.20, 0.32)","20260418_181006","2026-04-18 18:10:06.674532"
1911,463,"Imputed","ABG","IMV","1.39 (1.07, 1.80)","1.25 (0.96, 1.61)","0.22 (0.18, 0.26)","0.28 (0.23, 0.33)","0.25 (0.21, 0.31)","20260418_181006","2026-04-18 18:10:06.674532"
1911,183,"Imputed","ABG","NIV","0.99 (0.64, 1.53)","2.62 (1.83, 3.76)","0.08 (0.06, 0.11)","0.08 (0.06, 0.12)","0.19 (0.14, 0.24)","20260418_181006","2026-04-18 18:10:06.674532"
1911,322,"Imputed","ABG","Death (60d)","1.76 (1.29, 2.39)","1.54 (1.14, 2.08)","0.12 (0.09, 0.15)","0.19 (0.15, 0.24)","0.17 (0.13, 0.22)","20260418_181006","2026-04-18 18:10:06.674532"
1911,206,"Imputed","ABG","Hypercapnic RF","1.37 (0.82, 2.29)","8.50 (5.68, 12.72)","0.04 (0.03, 0.06)","0.05 (0.03, 0.08)","0.26 (0.20, 0.32)","20260418_181006","2026-04-18 18:10:06.674532"
1911,463,"Weighted and adjusted","ABG","IMV","1.41 (1.05, 1.90)","1.26 (0.93, 1.71)","0.21 (0.17, 0.25)","0.27 (0.22, 0.33)","0.25 (0.20, 0.31)","20260418_181006","2026-04-18 18:10:06.674532"
1911,183,"Weighted and adjusted","ABG","NIV","1.04 (0.63, 1.72)","3.05 (1.99, 4.68)","0.06 (0.04, 0.09)","0.06 (0.04, 0.10)","0.17 (0.12, 0.22)","20260418_181006","2026-04-18 18:10:06.674532"
1911,322,"Weighted and adjusted","ABG","Death (60d)","1.55 (1.07, 2.25)","1.50 (1.06, 2.14)","0.10 (0.08, 0.14)","0.15 (0.11, 0.21)","0.15 (0.11, 0.20)","20260418_181006","2026-04-18 18:10:06.674532"
1911,206,"Weighted and adjusted","ABG","Hypercapnic RF","1.26 (0.70, 2.26)","9.21 (5.73, 14.81)","0.03 (0.02, 0.05)","0.04 (0.02, 0.07)","0.23 (0.17, 0.30)","20260418_181006","2026-04-18 18:10:06.674532"
1911,463,"GBM-weighted","ABG","IMV","1.40 (1.06, 1.86)","1.14 (0.85, 1.52)","0.22 (0.18, 0.26)","0.28 (0.23, 0.34)","0.24 (0.19, 0.30)","20260418_181006","2026-04-18 18:10:06.674532"
1911,183,"GBM-weighted","ABG","NIV","1.04 (0.65, 1.69)","2.82 (1.90, 4.17)","0.07 (0.05, 0.11)","0.08 (0.05, 0.12)","0.18 (0.13, 0.24)","20260418_181006","2026-04-18 18:10:06.674532"
1911,322,"GBM-weighted","ABG","Death (60d)","1.52 (1.08, 2.16)","1.46 (1.05, 2.02)","0.11 (0.08, 0.14)","0.15 (0.11, 0.21)","0.15 (0.11, 0.20)","20260418_181006","2026-04-18 18:10:06.674532"
1911,206,"GBM-weighted","ABG","Hypercapnic RF","1.54 (0.84, 2.82)","9.39 (5.99, 14.73)","0.03 (0.02, 0.05)","0.05 (0.03, 0.09)","0.25 (0.18, 0.32)","20260418_181006","2026-04-18 18:10:06.674532"
