"stage","component","analysis_variant","model_type","group","outcome","imputation","n_used","events","converged","iter","sep_flag","nonconv_flag","min_phat","max_phat","warning_n","top_warning","error_message","extreme","run_id","run_ts"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",1,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.778925452209905,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",2,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.774703637052477,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",3,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.776412928059512,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",4,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.778505838074656,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",5,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.777569356147017,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",6,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.783774383003654,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",7,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.777487984983225,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",8,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.783617843171176,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",9,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.774614535137164,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",10,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.776155999370369,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",11,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.779005908566614,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",12,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.778596284123318,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",13,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.782458608556528,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",14,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.773213418825643,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",15,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.772130709457237,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",16,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.768680813720653,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",17,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.775396595193332,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",18,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.776762056238445,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",19,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.77192374006577,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","mi_ipw","spline","ABG","hypercap_resp_failure",20,18577,1943,TRUE,6,TRUE,FALSE,2.22044604925031e-16,0.779235692159928,0,NA,NA,2.22044604925031e-16,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","ipw","spline","ABG","hypercap_resp_failure",NA,18577,1943,TRUE,6,TRUE,FALSE,2.13836999693756e-13,0.736349185957393,0,NA,NA,2.13836999693756e-13,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","ipw","spline","ABG","hypercap_resp_failure",NA,18577,1943,TRUE,6,TRUE,FALSE,2.13836999693756e-13,0.736349185957393,0,NA,NA,2.13836999693756e-13,"20260421_094018","2026-04-21 09:40:18.841212"
"outcome","spline","unweighted","spline","ABG","hypercap_resp_failure",NA,18577,1943,TRUE,6,TRUE,FALSE,1.09349639021521e-12,0.7185309470612,0,NA,NA,1.09349639021521e-12,"20260421_094018","2026-04-21 09:40:18.841212"
